timestamp_utc,run_id,pg_version,query,run_index,runs,elapsed_sec,server_planning_ms,server_execution_ms,client_overhead_sec,client_user_cpu_sec,client_sys_cpu_sec,client_max_rss_kb,shared_hit_blks,shared_read_blks,shared_dirtied_blks,shared_written_blks,temp_read_blks,temp_written_blks,plan_nodes,scan_nodes,rows_out,rows_processed,rows_estimated,bytes_processed,rows_removed_filter,workers_launched,relations,failed,rapl_pkg_j,rapl_core_j,rapl_gpu_j,rapl_dram_j
2026-08-18T14:43:59Z,5F097F02BD95C319,18.4,queries/tpch/tpch-queries/q01/base.sql,1,3,2.158103,9.104,1980.220,0.168779,0.006602,0.018745,7168,28,112600,0,0,0,0,5,1,4,5916654,6,147929854,16925,4,lineitem,0,64.378356933593750000,60.406250000000000000,,
2026-08-18T14:44:04Z,5F097F02BD95C319,18.4,queries/tpch/tpch-queries/q01/base.sql,2,3,2.178268,9.341,1976.454,0.192473,0.011550,0.012598,7168,28,112600,0,0,0,0,5,1,4,5916654,6,147929854,16925,4,lineitem,0,64.665283203125000000,60.671997070312500000,,
2026-08-18T14:44:09Z,5F097F02BD95C319,18.4,queries/tpch/tpch-queries/q01/base.sql,3,3,2.136886,9.653,1979.070,0.148163,0.005816,0.015102,7168,28,112600,0,0,0,0,5,1,4,5916654,6,147929854,16925,4,lineitem,0,65.462646484375000000,61.523620605468750000,,
2026-08-18T14:44:15Z,5F097F02BD95C319,18.4,queries/tpch/tpch-queries/q01/v1_materialized.sql,1,3,2.161073,9.738,1979.663,0.171672,0.007577,0.017484,7168,28,112600,0,0,0,0,6,2,4,5916658,6,147930846,16925,4,_m;lineitem,0,65.103210449218750000,61.121948242187500000,,
2026-08-18T14:44:20Z,5F097F02BD95C319,18.4,queries/tpch/tpch-queries/q01/v1_materialized.sql,2,3,2.193012,10.914,1985.491,0.196607,0.005708,0.018479,7168,28,112600,0,0,0,0,6,2,4,5916658,6,147930846,16925,4,_m;lineitem,0,65.667907714843750000,61.641052246093750000,,
2026-08-18T14:44:25Z,5F097F02BD95C319,18.4,queries/tpch/tpch-queries/q01/v1_materialized.sql,3,3,2.162475,9.848,1976.764,0.175863,0.010608,0.015029,7168,28,112600,0,0,0,0,6,2,4,5916658,6,147930846,16925,4,_m;lineitem,0,65.691772460937500000,61.688476562500000000,,
2026-08-18T14:45:16Z,5F097F02BD95C319,18.4,queries/tpch/tpch-queries/q02/base.sql,1,3,47.907692,11.974,47673.143,0.222575,0.007344,0.018998,7168,21464092,21913,0,0,0,0,26,9,100,25202162,1,270312202,999257,0,part;partsupp;supplier;nation;region,0,532.630432128906250000,465.045104980468750000,,
2026-08-18T14:46:06Z,5F097F02BD95C319,18.4,queries/tpch/tpch-queries/q02/base.sql,2,3,47.057459,11.028,46827.485,0.218946,0.006182,0.016870,7168,21464092,21913,0,0,0,0,26,9,100,25202162,1,270312202,999257,0,part;partsupp;supplier;nation;region,0,549.256042480468750000,482.700317382812500000,,
2026-08-18T14:46:57Z,5F097F02BD95C319,18.4,queries/tpch/tpch-queries/q02/base.sql,3,3,47.377230,10.419,47145.828,0.220983,0.008774,0.017210,7168,21464092,21913,0,0,0,0,26,9,100,25202162,1,270312202,999257,0,part;partsupp;supplier;nation;region,0,545.396972656250000000,478.453247070312500000,,
2026-08-18T14:47:48Z,5F097F02BD95C319,18.4,queries/tpch/tpch-queries/q02/v1_materialized.sql,1,3,48.793813,13.620,48527.177,0.253016,0.008040,0.016739,7168,21464092,21913,0,0,0,0,27,10,100,25202622,1,270746362,999257,0,part;partsupp;supplier;nation;region;_m,0,549.901672363281250000,485.318298339843750000,,
2026-08-18T14:48:40Z,5F097F02BD95C319,18.4,queries/tpch/tpch-queries/q02/v1_materialized.sql,2,3,48.244143,10.319,47989.954,0.243870,0.009005,0.014498,7168,21464092,21913,0,0,0,0,27,10,100,25202622,1,270746362,999257,0,part;partsupp;supplier;nation;region;_m,0,535.668273925781250000,468.167968750000000000,,
2026-08-18T14:49:31Z,5F097F02BD95C319,18.4,queries/tpch/tpch-queries/q02/v1_materialized.sql,3,3,47.729794,11.285,47497.018,0.221491,0.007802,0.017171,7168,21464092,21913,0,0,0,0,27,10,100,25202622,1,270746362,999257,0,part;partsupp;supplier;nation;region;_m,0,543.079467773437500000,475.786804199218750000,,
2026-08-18T14:49:34Z,5F097F02BD95C319,18.4,queries/tpch/tpch-queries/q02/v2_decorrelate.sql,1,3,0.827627,10.846,593.693,0.223088,0.010519,0.014052,7168,18469,21913,0,0,0,0,29,9,100,1953497,1,37407784,49821,3,partsupp;supplier;nation;region;part,0,5.748901367187500000,4.469482421875000000,,
2026-08-18T14:49:38Z,5F097F02BD95C319,18.4,queries/tpch/tpch-queries/q02/v2_decorrelate.sql,2,3,0.795570,10.945,564.199,0.220426,0.010359,0.013550,7168,18469,21913,0,0,0,0,29,9,100,1953497,1,37407784,49821,3,partsupp;supplier;nation;region;part,0,6.103637695312500000,4.854919433593750000,,
2026-08-18T14:49:42Z,5F097F02BD95C319,18.4,queries/tpch/tpch-queries/q02/v2_decorrelate.sql,3,3,0.829656,9.960,572.735,0.246961,0.009448,0.016333,7168,18469,21913,0,0,0,0,29,9,100,1953497,1,37407784,49821,3,partsupp;supplier;nation;region;part,0,5.738952636718750000,4.461730957031250000,,
2026-08-18T14:49:47Z,5F097F02BD95C319,18.4,queries/tpch/tpch-queries/q03/base.sql,1,3,1.792561,17.831,1668.832,0.105898,0.004459,0.010032,7168,501664,124938,0,0,0,0,10,3,10,1007383,10,15620472,223142,3,orders;customer;lineitem,0,26.000671386718750000,22.242736816406250000,,
2026-08-18T14:49:52Z,5F097F02BD95C319,18.4,queries/tpch/tpch-queries/q03/base.sql,2,3,1.859397,17.574,1672.141,0.169682,0.007728,0.017903,7168,501664,124938,0,0,0,0,10,3,10,1007383,10,15620472,223142,3,orders;customer;lineitem,0,26.386901855468750000,22.552307128906250000,,
2026-08-18T14:49:57Z,5F097F02BD95C319,18.4,queries/tpch/tpch-queries/q03/base.sql,3,3,1.882374,16.755,1696.529,0.169090,0.005692,0.019821,7040,501664,124938,0,0,0,0,10,3,10,1007383,10,15620472,223142,3,orders;customer;lineitem,0,25.776062011718750000,21.887756347656250000,,
2026-08-18T14:50:02Z,5F097F02BD95C319,18.4,queries/tpch/tpch-queries/q03/v1_materialized.sql,1,3,1.931433,17.907,1716.961,0.196565,0.012689,0.013022,7168,501664,124938,0,0,0,0,11,4,10,1019003,10,16131752,223142,3,orders;customer;lineitem;_m,0,25.469604492187500000,21.513427734375000000,,
2026-08-18T14:50:07Z,5F097F02BD95C319,18.4,queries/tpch/tpch-queries/q03/v1_materialized.sql,2,3,1.849769,15.973,1661.326,0.172470,0.007611,0.017540,7168,501664,124938,0,0,0,0,11,4,10,1019003,10,16131752,223142,3,orders;customer;lineitem;_m,0,25.879699707031250000,22.044860839843750000,,
