timestamp_utc,run_id,pg_version,query,runs,n_small,n_large,wall_small_sec,wall_large_sec,slope_wall_sec,intercept_wall_sec,pkg_small_j,pkg_large_j,slope_pkg_j,intercept_pkg_j,core_small_j,core_large_j,slope_core_j,intercept_core_j,failed
2026-08-14T18:45:49Z,08AA4D658C97ECD6,18.4,queries/tpch/tpch-queries/q01/base.sql,3,1,5,1.526869,8.186974,1.665026,-0.138157,46.647400,199.483175,38.208944,8.438456,45.132019,191.460063,36.582011,8.550008,0
2026-08-14T18:46:18Z,08AA4D658C97ECD6,18.4,queries/tpch/tpch-queries/q01/v1_materialized.sql,3,1,5,1.817645,8.541474,1.680957,0.136688,40.032654,187.061808,36.757289,3.275365,38.256897,178.714823,35.114482,3.142415,0
2026-08-14T19:01:25Z,08AA4D658C97ECD6,18.4,queries/tpch/tpch-queries/q02/base.sql,3,1,5,53.697982,266.324626,53.156661,0.541320,455.548035,2259.231934,450.920975,4.627060,404.778931,2006.446167,400.416809,4.362122,0
2026-08-14T19:16:30Z,08AA4D658C97ECD6,18.4,queries/tpch/tpch-queries/q02/v1_materialized.sql,3,1,5,53.712349,266.238974,53.131656,0.580693,447.357117,2292.753398,461.349070,-13.991954,396.307861,2039.869364,410.890376,-14.582514,0
2026-08-14T19:16:35Z,08AA4D658C97ECD6,18.4,queries/tpch/tpch-queries/q02/v2_decorrelate.sql,3,1,5,0.327216,1.215622,0.222102,0.105115,4.013489,16.783569,3.192520,0.820969,3.639526,15.556234,2.979177,0.660350,0
2026-08-14T19:16:40Z,08AA4D658C97ECD6,18.4,queries/tpch/tpch-queries/q03/base.sql,3,1,5,0.433727,1.381174,0.236862,0.196866,8.781799,38.283244,7.375361,1.406438,8.231506,36.739075,7.126892,1.104614,0
2026-08-14T19:16:45Z,08AA4D658C97ECD6,18.4,queries/tpch/tpch-queries/q03/v1_materialized.sql,3,1,5,0.454442,1.386815,0.233093,0.221349,8.830505,38.700602,7.467524,1.362981,8.236450,37.064718,7.207067,1.029383,0
2026-08-14T19:16:47Z,08AA4D658C97ECD6,18.4,queries/tpch/tpch-queries/q04/base.sql,3,1,5,0.266841,0.573645,0.076701,0.190140,2.851929,16.136698,3.321192,-0.469264,2.502869,15.240112,3.184311,-0.681442,0
2026-08-14T19:16:49Z,08AA4D658C97ECD6,18.4,queries/tpch/tpch-queries/q04/v1_materialized.sql,3,1,5,0.228691,0.555528,0.081709,0.146982,3.004395,16.294759,3.322591,-0.318197,2.624023,15.399109,3.193771,-0.569748,0
2026-08-14T19:16:51Z,08AA4D658C97ECD6,18.4,queries/tpch/tpch-queries/q04/v2_in.sql,3,1,5,0.236328,0.568727,0.083100,0.153229,2.989624,16.075745,3.271530,-0.281906,2.589905,15.143188,3.138321,-0.548416,0
2026-08-14T19:16:56Z,08AA4D658C97ECD6,18.4,queries/tpch/tpch-queries/q05/base.sql,3,1,5,0.315178,1.410873,0.273924,0.041255,4.533203,17.963623,3.357605,1.175598,4.073914,15.902079,2.957041,1.116872,0
2026-08-14T19:17:01Z,08AA4D658C97ECD6,18.4,queries/tpch/tpch-queries/q05/v1_materialized.sql,3,1,5,0.364250,1.390224,0.256493,0.107757,4.598755,18.262736,3.415995,1.182760,4.026550,16.201660,3.043777,0.982773,0
2026-08-14T19:17:06Z,08AA4D658C97ECD6,18.4,queries/tpch/tpch-queries/q06/base.sql,3,1,5,0.395271,1.301762,0.226623,0.168649,7.752014,37.745199,7.498296,0.253718,7.129700,35.754293,7.156148,-0.026449,0
2026-08-14T19:17:10Z,08AA4D658C97ECD6,18.4,queries/tpch/tpch-queries/q06/v1_materialized.sql,3,1,5,0.405188,1.332962,0.231943,0.173245,7.542603,36.451945,7.227336,0.315267,6.868835,34.446798,6.894491,-0.025655,0
2026-08-14T19:17:16Z,08AA4D658C97ECD6,18.4,queries/tpch/tpch-queries/q07/base.sql,3,1,5,0.410736,1.627750,0.304254,0.106482,6.081665,24.635356,4.638423,1.443242,5.438660,22.213379,4.193680,1.244980,0
2026-08-14T19:17:22Z,08AA4D658C97ECD6,18.4,queries/tpch/tpch-queries/q07/v1_materialized.sql,3,1,5,0.418482,1.589345,0.292716,0.125767,6.009644,25.028463,4.754705,1.254939,5.311951,22.696472,4.346130,0.965820,0
2026-08-14T19:17:27Z,08AA4D658C97ECD6,18.4,queries/tpch/tpch-queries/q07/v2_union_all.sql,3,1,5,0.378271,1.646543,0.317068,0.061203,5.779114,25.239319,4.865051,0.914062,5.250916,22.800924,4.387502,0.863413,0
2026-08-14T19:17:34Z,08AA4D658C97ECD6,18.4,queries/tpch/tpch-queries/q08/base.sql,3,1,5,0.498386,1.947445,0.362265,0.136122,7.484314,31.919678,6.108841,1.375473,6.733398,29.107890,5.593623,1.139776,0
2026-08-14T19:17:41Z,08AA4D658C97ECD6,18.4,queries/tpch/tpch-queries/q08/v1_materialized.sql,3,1,5,0.502351,1.945011,0.360665,0.141686,7.421936,32.013753,6.147954,1.273982,6.686890,29.209371,5.630620,1.056269,0
2026-08-14T19:17:48Z,08AA4D658C97ECD6,18.4,queries/tpch/tpch-queries/q08/v2_filter.sql,3,1,5,0.492569,1.930891,0.359581,0.132988,7.690857,32.402710,6.177963,1.512894,6.946106,29.575806,5.657425,1.288681,0
2026-08-14T19:18:04Z,08AA4D658C97ECD6,18.4,queries/tpch/tpch-queries/q09/base.sql,3,1,5,1.001351,4.599915,0.899641,0.101710,21.459900,103.078634,20.404683,1.055216,19.967041,96.505514,19.134618,0.832423,0
2026-08-14T19:18:20Z,08AA4D658C97ECD6,18.4,queries/tpch/tpch-queries/q09/v1_materialized.sql,3,1,5,0.962785,4.675363,0.928144,0.034641,20.929932,100.420268,19.872584,1.057348,19.583191,93.806763,18.555893,1.027298,0
2026-08-14T19:18:25Z,08AA4D658C97ECD6,18.4,queries/tpch/tpch-queries/q10/base.sql,3,1,5,0.386129,1.407302,0.255293,0.130835,7.913208,35.440552,6.881836,1.031372,7.339844,33.388204,6.512090,0.827754,0
2026-08-14T19:18:30Z,08AA4D658C97ECD6,18.4,queries/tpch/tpch-queries/q10/v1_materialized.sql,3,1,5,0.401093,1.484595,0.270876,0.130217,8.287720,35.783610,6.873973,1.413747,7.645386,33.645711,6.500081,1.145304,0
2026-08-14T19:18:32Z,08AA4D658C97ECD6,18.4,queries/tpch/tpch-queries/q11/base.sql,3,1,5,0.184478,0.493325,0.077212,0.107266,2.918030,12.021830,2.275950,0.642080,2.646606,11.242615,2.149002,0.497604,0
2026-08-14T19:18:34Z,08AA4D658C97ECD6,18.4,queries/tpch/tpch-queries/q11/v1_materialized.sql,3,1,5,0.231934,0.542064,0.077532,0.154402,3.147888,11.818848,2.167740,0.980148,2.787354,10.979716,2.048091,0.739263,0
2026-08-14T19:18:36Z,08AA4D658C97ECD6,18.4,queries/tpch/tpch-queries/q11/v2_cte_threshold.sql,3,1,5,0.245601,0.551184,0.076396,0.169206,1.916748,11.900859,2.496028,-0.579280,1.537415,11.006470,2.367264,-0.829849,0
2026-08-14T19:18:44Z,08AA4D658C97ECD6,18.4,queries/tpch/tpch-queries/q12/base.sql,3,1,5,0.496766,2.391925,0.473790,0.022977,13.114380,58.799377,11.421249,1.693130,12.573364,56.139364,10.891500,1.681864,0
2026-08-14T19:18:53Z,08AA4D658C97ECD6,18.4,queries/tpch/tpch-queries/q12/v1_materialized.sql,3,1,5,0.634342,2.486508,0.463041,0.171301,12.575500,54.989807,10.603577,1.971924,11.860229,52.213196,10.088242,1.771988,0
2026-08-14T19:19:01Z,08AA4D658C97ECD6,18.4,queries/tpch/tpch-queries/q12/v2_filter.sql,3,1,5,0.535752,2.488873,0.488280,0.047472,11.668640,54.545837,10.719299,0.949341,11.082520,51.800069,10.179387,0.903132,0
2026-08-14T19:19:28Z,08AA4D658C97ECD6,18.4,queries/tpch/tpch-queries/q13/base.sql,3,1,5,1.641479,7.800929,1.539862,0.101617,9.899841,46.204508,9.076167,0.823675,8.333252,38.882772,7.637380,0.695872,0
2026-08-14T19:19:55Z,08AA4D658C97ECD6,18.4,queries/tpch/tpch-queries/q13/v1_materialized.sql,3,1,5,1.662430,7.742168,1.519935,0.142495,9.616943,45.316569,8.924906,0.692037,8.110352,38.366679,7.564082,0.546270,0
2026-08-14T19:20:30Z,08AA4D658C97ECD6,18.4,queries/tpch/tpch-queries/q13/v2_correlated.sql,3,1,5,2.206118,10.286562,2.020111,0.186006,20.165894,99.410502,19.811152,0.354741,18.133545,89.916829,17.945821,0.187724,0
2026-08-14T19:20:35Z,08AA4D658C97ECD6,18.4,queries/tpch/tpch-queries/q14/base.sql,3,1,5,0.373261,1.314518,0.235314,0.137947,8.281128,42.233134,8.488002,-0.206874,7.711243,40.196920,8.121419,-0.410177,0
2026-08-14T19:20:40Z,08AA4D658C97ECD6,18.4,queries/tpch/tpch-queries/q14/v1_materialized.sql,3,1,5,0.421396,1.357990,0.234149,0.187247,7.974731,40.715881,8.185287,-0.210556,7.307739,38.589600,7.820465,-0.512726,0
2026-08-14T19:20:45Z,08AA4D658C97ECD6,18.4,queries/tpch/tpch-queries/q14/v2_filter.sql,3,1,5,0.406092,1.363309,0.239304,0.166788,8.152832,39.145711,7.748220,0.404612,7.449402,37.046549,7.399287,0.050115,0
2026-08-14T19:20:50Z,08AA4D658C97ECD6,18.4,queries/tpch/tpch-queries/q15/base.sql,3,1,5,0.455584,1.599945,0.286090,0.169493,8.994995,41.069865,8.018717,0.976278,8.281616,38.603414,7.580449,0.701167,0
2026-08-14T19:20:56Z,08AA4D658C97ECD6,18.4,queries/tpch/tpch-queries/q15/v1_materialized.sql,3,1,5,0.350011,1.612999,0.315747,0.034264,9.575989,40.498962,7.730743,1.845245,9.043579,37.981954,7.234594,1.808985,0
2026-08-14T19:21:00Z,08AA4D658C97ECD6,18.4,queries/tpch/tpch-queries/q16/base.sql,3,1,5,0.348449,1.275695,0.231812,0.116637,5.683472,28.019836,5.584091,0.099380,5.168823,26.309285,5.285116,-0.116292,0
2026-08-14T19:21:05Z,08AA4D658C97ECD6,18.4,queries/tpch/tpch-queries/q16/v1_materialized.sql,3,1,5,0.340292,1.316355,0.244016,0.096277,6.252869,28.317973,5.516276,0.736593,5.767151,26.549032,5.195470,0.571681,0
2026-08-14T19:21:09Z,08AA4D658C97ECD6,18.4,queries/tpch/tpch-queries/q16/v2_not_exists.sql,3,1,5,0.319831,1.201132,0.220325,0.099506,5.884094,26.346334,5.115560,0.768534,5.408508,24.722493,4.828496,0.580012,0
2026-08-14T19:22:42Z,08AA4D658C97ECD6,18.4,queries/tpch/tpch-queries/q17/v2_decorrelate.sql,3,1,5,5.580172,27.303136,5.430741,0.149430,76.071716,375.392476,74.830190,1.241526,66.588257,329.791382,65.800781,0.787476,0
2026-08-14T19:24:06Z,08AA4D658C97ECD6,18.4,queries/tpch/tpch-queries/q18/base.sql,3,1,5,4.773940,24.703494,4.982389,-0.208449,131.480103,566.151632,108.667882,22.812220,125.579712,535.297078,102.429342,23.150370,0
2026-08-14T19:25:32Z,08AA4D658C97ECD6,18.4,queries/tpch/tpch-queries/q18/v1_materialized.sql,3,1,5,5.132534,25.154561,5.005507,0.127027,112.611023,551.876790,109.816442,2.794581,106.576294,521.543396,103.741776,2.834518,0
