timestamp_utc,run_id,pg_version,query,runs,n_small,n_large,wall_small_sec,wall_large_sec,slope_wall_sec,intercept_wall_sec,pkg_small_j,pkg_large_j,slope_pkg_j,intercept_pkg_j,core_small_j,core_large_j,slope_core_j,intercept_core_j,failed
2026-08-18T13:50:42Z,3340DA6E1AB6222B,18.4,queries/tpch/tpch-queries/q01/base.sql,3,1,5,1.669522,8.517636,1.712028,-0.042506,40.542419,186.563131,36.505178,4.037242,39.086243,179.150675,35.016108,4.070134,0
2026-08-18T13:51:11Z,3340DA6E1AB6222B,18.4,queries/tpch/tpch-queries/q01/v1_materialized.sql,3,1,5,1.734985,8.522001,1.696754,0.038231,38.108276,186.956991,37.212179,0.896098,36.500671,179.586528,35.771464,0.729207,0
2026-08-18T13:51:14Z,3340DA6E1AB6222B,18.4,queries/tpch/tpch-queries/q02/base.sql,3,1,5,0.285119,0.925087,0.159992,0.125127,2.541992,8.497864,1.488968,1.053024,2.224976,7.649109,1.356033,0.868942,0
2026-08-18T13:51:18Z,3340DA6E1AB6222B,18.4,queries/tpch/tpch-queries/q02/v1_materialized.sql,3,1,5,0.313096,1.040752,0.181914,0.131182,2.522095,8.008809,1.371679,1.150416,2.183289,7.049215,1.216482,0.966807,0
2026-08-18T13:51:22Z,3340DA6E1AB6222B,18.4,queries/tpch/tpch-queries/q02/v2_decorrelate.sql,3,1,5,0.316909,1.152562,0.208913,0.107996,2.007996,7.041382,1.258347,0.749649,1.666016,5.952148,1.071533,0.594482,0
2026-08-18T13:51:28Z,3340DA6E1AB6222B,18.4,queries/tpch/tpch-queries/q03/base.sql,3,1,5,0.440109,1.655054,0.303736,0.136372,9.025635,42.586711,8.390269,0.635366,8.477905,40.825114,8.086802,0.391103,0
2026-08-18T13:51:34Z,3340DA6E1AB6222B,18.4,queries/tpch/tpch-queries/q03/v1_materialized.sql,3,1,5,0.441115,1.673065,0.307987,0.133128,9.164246,42.610026,8.361445,0.802800,8.655884,40.841410,8.046382,0.609502,0
2026-08-18T13:51:36Z,3340DA6E1AB6222B,18.4,queries/tpch/tpch-queries/q04/base.sql,3,1,5,0.239554,0.719993,0.120110,0.119444,3.370911,16.323120,3.238052,0.132858,3.059509,15.505880,3.111593,-0.052083,0
2026-08-18T13:51:39Z,3340DA6E1AB6222B,18.4,queries/tpch/tpch-queries/q04/v1_materialized.sql,3,1,5,0.239013,0.715658,0.119161,0.119852,3.278259,16.248311,3.242513,0.035746,2.972473,15.449341,3.119217,-0.146744,0
2026-08-18T13:51:42Z,3340DA6E1AB6222B,18.4,queries/tpch/tpch-queries/q04/v2_in.sql,3,1,5,0.246414,0.713316,0.116726,0.129688,3.426086,16.408427,3.245585,0.180501,3.100098,15.601664,3.125392,-0.025294,0
2026-08-18T13:51:49Z,3340DA6E1AB6222B,18.4,queries/tpch/tpch-queries/q05/base.sql,3,1,5,0.485390,2.034986,0.387399,0.097991,4.614502,20.274577,3.915019,0.699483,4.053772,18.166260,3.528122,0.525650,0
2026-08-18T13:51:56Z,3340DA6E1AB6222B,18.4,queries/tpch/tpch-queries/q05/v1_materialized.sql,3,1,5,0.470954,2.012894,0.385485,0.085469,4.753113,20.546977,3.948466,0.804647,4.186462,18.422038,3.558894,0.627569,0
2026-08-18T13:51:57Z,3340DA6E1AB6222B,18.4,queries/tpch/tpch-queries/q06/base.sql,3,1,5,0.094731,0.418316,0.080896,0.013835,2.428772,9.922099,1.873332,0.555440,2.336487,9.453369,1.779221,0.557266,0
2026-08-18T13:51:59Z,3340DA6E1AB6222B,18.4,queries/tpch/tpch-queries/q06/v1_materialized.sql,3,1,5,0.117868,0.397783,0.069979,0.047889,1.898926,10.016541,2.029404,-0.130478,1.770447,9.589966,1.954880,-0.184433,0
2026-08-18T13:52:11Z,3340DA6E1AB6222B,18.4,queries/tpch/tpch-queries/q07/base.sql,3,1,5,0.800547,3.540356,0.684952,0.115594,9.368347,45.240011,8.967916,0.400431,8.572815,41.771444,8.299657,0.273158,0
2026-08-18T13:52:23Z,3340DA6E1AB6222B,18.4,queries/tpch/tpch-queries/q07/v1_materialized.sql,3,1,5,0.778703,3.524405,0.686426,0.092277,9.479736,45.382975,8.975810,0.503927,8.655457,42.002889,8.336858,0.318598,0
2026-08-18T13:52:35Z,3340DA6E1AB6222B,18.4,queries/tpch/tpch-queries/q07/v2_union_all.sql,3,1,5,0.791874,3.530382,0.684627,0.107247,5.954041,26.326029,5.092997,0.861043,5.052429,22.646525,4.398524,0.653905,0
2026-08-18T13:52:41Z,3340DA6E1AB6222B,18.4,queries/tpch/tpch-queries/q08/base.sql,3,1,5,0.402112,1.520744,0.279658,0.122454,4.397766,19.216431,3.704666,0.693100,3.981689,17.693766,3.428019,0.553670,0
2026-08-18T13:52:46Z,3340DA6E1AB6222B,18.4,queries/tpch/tpch-queries/q08/v1_materialized.sql,3,1,5,0.409344,1.513927,0.276146,0.133198,4.448669,19.314168,3.716375,0.732295,3.990356,17.740356,3.437500,0.552856,0
2026-08-18T13:52:51Z,3340DA6E1AB6222B,18.4,queries/tpch/tpch-queries/q08/v2_filter.sql,3,1,5,0.324249,1.498342,0.293523,0.030725,4.677185,19.531962,3.713694,0.963491,4.239746,17.919800,3.420013,0.819733,0
2026-08-18T13:53:16Z,3340DA6E1AB6222B,18.4,queries/tpch/tpch-queries/q09/base.sql,3,1,5,1.548497,7.329576,1.445270,0.103228,21.747009,107.663534,21.479131,0.267878,20.301941,100.833801,20.132965,0.168976,0
2026-08-18T13:53:41Z,3340DA6E1AB6222B,18.4,queries/tpch/tpch-queries/q09/v1_materialized.sql,3,1,5,1.549253,7.334548,1.446324,0.102929,22.005432,107.636719,21.407822,0.597610,20.558472,100.835490,20.069255,0.489217,0
2026-08-18T13:53:48Z,3340DA6E1AB6222B,18.4,queries/tpch/tpch-queries/q10/base.sql,3,1,5,0.487381,2.000292,0.378228,0.109153,7.602234,35.246989,6.911189,0.691045,7.069458,33.191508,6.530512,0.538946,0
2026-08-18T13:53:55Z,3340DA6E1AB6222B,18.4,queries/tpch/tpch-queries/q10/v1_materialized.sql,3,1,5,0.473032,1.918917,0.361471,0.111560,7.391418,33.692830,6.575353,0.816065,6.888977,31.775940,6.221741,0.667236,0
2026-08-18T13:53:57Z,3340DA6E1AB6222B,18.4,queries/tpch/tpch-queries/q11/base.sql,3,1,5,0.125489,0.498730,0.093310,0.032179,1.365723,3.747192,0.595367,0.770355,1.234619,3.272725,0.509527,0.725093,0
2026-08-18T13:53:59Z,3340DA6E1AB6222B,18.4,queries/tpch/tpch-queries/q11/v1_materialized.sql,3,1,5,0.128809,0.530348,0.100385,0.028424,1.262634,3.705892,0.610814,0.651820,1.127747,3.159139,0.507848,0.619898,0
2026-08-18T13:54:01Z,3340DA6E1AB6222B,18.4,queries/tpch/tpch-queries/q11/v2_cte_threshold.sql,3,1,5,0.129238,0.531387,0.100537,0.028701,1.263184,3.625854,0.590668,0.672516,1.128601,3.086487,0.489471,0.639130,0
2026-08-18T13:54:06Z,3340DA6E1AB6222B,18.4,queries/tpch/tpch-queries/q12/base.sql,3,1,5,0.432866,1.666537,0.308418,0.124448,8.483459,41.022522,8.134766,0.348694,7.916931,38.799418,7.720622,0.196309,0
2026-08-18T13:54:12Z,3340DA6E1AB6222B,18.4,queries/tpch/tpch-queries/q12/v1_materialized.sql,3,1,5,0.466380,1.670551,0.301043,0.165337,8.378601,41.238932,8.215083,0.163518,7.799377,39.055949,7.814143,-0.014765,0
2026-08-18T13:54:18Z,3340DA6E1AB6222B,18.4,queries/tpch/tpch-queries/q12/v2_filter.sql,3,1,5,0.457208,1.660792,0.300896,0.156312,8.419922,41.491923,8.268000,0.151922,7.831299,39.272054,7.860189,-0.028890,0
2026-08-18T13:54:44Z,3340DA6E1AB6222B,18.4,queries/tpch/tpch-queries/q13/base.sql,3,1,5,1.625084,7.374181,1.437274,0.187810,9.940857,47.298421,9.339391,0.601466,8.551697,41.140177,8.147120,0.404577,0
2026-08-18T13:55:09Z,3340DA6E1AB6222B,18.4,queries/tpch/tpch-queries/q13/v1_materialized.sql,3,1,5,1.579340,7.366350,1.446753,0.132587,10.023376,46.981222,9.239461,0.783915,8.741455,41.077637,8.084045,0.657410,0
2026-08-18T13:55:43Z,3340DA6E1AB6222B,18.4,queries/tpch/tpch-queries/q13/v2_correlated.sql,3,1,5,2.166749,10.058890,1.973035,0.193714,21.744324,102.635193,20.222717,1.521606,19.968567,94.482808,18.628560,1.340007,0
2026-08-18T13:55:47Z,3340DA6E1AB6222B,18.4,queries/tpch/tpch-queries/q14/base.sql,3,1,5,0.266878,0.891125,0.156062,0.110816,4.750305,19.932800,3.795624,0.954681,4.399536,18.847168,3.611908,0.787628,0
