timestamp_utc,run_id,pg_version,database,schema,relname,relkind,reltuples,relpages,heap_bytes,index_bytes,total_bytes
2026-08-10T15:11:59Z,01D6707A2B81EA6C,16.14,warehouse,public,items,r,41358,409,3350528,4694016,8077312
2026-08-10T15:11:59Z,01D6707A2B81EA6C,16.14,warehouse,public,items_item_code_item_description_item_type_key,i,41358,458,3751936,0,3751936
2026-08-10T15:11:59Z,01D6707A2B81EA6C,16.14,warehouse,public,items_pkey,i,41358,115,942080,0,942080
2026-08-10T15:11:59Z,01D6707A2B81EA6C,16.14,warehouse,public,sales,r,318847,2418,19808256,7184384,27025408
2026-08-10T15:11:59Z,01D6707A2B81EA6C,16.14,warehouse,public,sales_pkey,i,318847,877,7184384,0,7184384
2026-08-10T15:11:59Z,01D6707A2B81EA6C,16.14,warehouse,public,suppliers,r,531,4,32768,90112,147456
2026-08-10T15:11:59Z,01D6707A2B81EA6C,16.14,warehouse,public,suppliers_pkey,i,531,4,32768,0,32768
2026-08-10T15:11:59Z,01D6707A2B81EA6C,16.14,warehouse,public,suppliers_supplier_name_key,i,531,7,57344,0,57344
2026-08-10T15:13:03Z,F0835FB40824C98A,16.14,warehouse,public,items,r,41358,409,3350528,4694016,8077312
2026-08-10T15:13:03Z,F0835FB40824C98A,16.14,warehouse,public,items_item_code_item_description_item_type_key,i,41358,458,3751936,0,3751936
2026-08-10T15:13:03Z,F0835FB40824C98A,16.14,warehouse,public,items_pkey,i,41358,115,942080,0,942080
2026-08-10T15:13:03Z,F0835FB40824C98A,16.14,warehouse,public,sales,r,318847,2418,19808256,7184384,27025408
2026-08-10T15:13:03Z,F0835FB40824C98A,16.14,warehouse,public,sales_pkey,i,318847,877,7184384,0,7184384
2026-08-10T15:13:03Z,F0835FB40824C98A,16.14,warehouse,public,suppliers,r,531,4,32768,90112,147456
2026-08-10T15:13:03Z,F0835FB40824C98A,16.14,warehouse,public,suppliers_pkey,i,531,4,32768,0,32768
2026-08-10T15:13:03Z,F0835FB40824C98A,16.14,warehouse,public,suppliers_supplier_name_key,i,531,7,57344,0,57344
