timestamp_utc,run_id,pg_version,query,run_index,runs,elapsed_sec,server_planning_ms,server_execution_ms,client_overhead_sec,client_user_cpu_sec,client_sys_cpu_sec,client_max_rss_kb,shared_hit_blks,shared_read_blks,shared_dirtied_blks,shared_written_blks,temp_read_blks,temp_written_blks,plan_nodes,scan_nodes,rows_out,rows_processed,rows_estimated,bytes_processed,rows_removed_filter,workers_launched,relations,failed,rapl_pkg_j,rapl_core_j,rapl_gpu_j,rapl_dram_j
2026-08-10T08:46:22Z,844B9D55A9D926E9,18.4,queries/tpch/tpch-queries/q01/base.sql,1,3,2.493840,19.823,2130.364,0.343653,0.011206,0.024759,7168,14,112600,0,0,0,0,5,1,4,5916631,6,147924215,28208,2,lineitem,0,57.409729003906250000,52.832214355468750000,,
2026-08-10T08:46:28Z,844B9D55A9D926E9,18.4,queries/tpch/tpch-queries/q01/base.sql,2,3,2.513057,19.747,2287.474,0.205836,0.012187,0.019428,7168,14,112600,0,0,0,0,5,1,4,5916631,6,147924215,28208,2,lineitem,0,57.301818847656250000,52.711242675781250000,,
2026-08-10T08:46:33Z,844B9D55A9D926E9,18.4,queries/tpch/tpch-queries/q01/base.sql,3,3,2.539747,19.443,2308.860,0.211444,0.013532,0.019528,7168,14,112600,0,0,0,0,5,1,4,5916631,6,147924215,28208,2,lineitem,0,57.872924804687500000,53.240478515625000000,,
2026-08-10T08:46:38Z,844B9D55A9D926E9,18.4,queries/tpch/tpch-queries/q01/v1_materialized.sql,1,3,2.460758,20.005,2230.785,0.209968,0.012875,0.020438,7168,14,112600,0,0,0,0,6,2,4,5916635,6,147925207,28208,2,_m;lineitem,0,57.951416015625000000,53.398254394531250000,,
2026-08-10T08:46:44Z,844B9D55A9D926E9,18.4,queries/tpch/tpch-queries/q01/v1_materialized.sql,2,3,2.485001,22.258,2249.484,0.213259,0.012635,0.021685,7168,14,112600,0,0,0,0,6,2,4,5916635,6,147925207,28208,2,_m;lineitem,0,59.354797363281250000,54.638732910156250000,,
2026-08-10T08:46:50Z,844B9D55A9D926E9,18.4,queries/tpch/tpch-queries/q01/v1_materialized.sql,3,3,2.440532,20.201,2206.021,0.214310,0.009530,0.023626,7168,14,112600,0,0,0,0,6,2,4,5916635,6,147925207,28208,2,_m;lineitem,0,60.037475585937500000,55.399047851562500000,,
2026-08-10T08:46:54Z,844B9D55A9D926E9,18.4,queries/tpch/tpch-queries/q02/base.sql,1,3,1.072797,105.998,758.836,0.207963,0.015193,0.018172,7168,163423,34540,0,0,3359,3359,23,10,100,521979,1,59100592,3168,0,part;ixtest_part_size;supplier;nation;region;partsupp,0,7.169799804687500000,5.194641113281250000,,
2026-08-10T08:46:57Z,844B9D55A9D926E9,18.4,queries/tpch/tpch-queries/q02/base.sql,2,3,1.106953,106.747,786.675,0.213531,0.013565,0.022425,7168,163423,34540,0,0,3359,3359,23,10,100,521979,1,59100592,3168,0,part;ixtest_part_size;supplier;nation;region;partsupp,0,6.777404785156250000,4.744812011718750000,,
2026-08-10T08:47:01Z,844B9D55A9D926E9,18.4,queries/tpch/tpch-queries/q02/base.sql,3,3,1.023295,106.642,726.787,0.189866,0.013302,0.022624,7168,163423,34540,0,0,3359,3359,23,10,100,521979,1,59100592,3168,0,part;ixtest_part_size;supplier;nation;region;partsupp,0,7.066894531250000000,5.163024902343750000,,
2026-08-10T08:47:07Z,844B9D55A9D926E9,18.4,queries/tpch/tpch-queries/q02/v1_materialized.sql,1,3,2.549973,198.716,2205.041,0.146216,0.007946,0.012791,7168,164621,34078,0,0,3359,3359,24,12,100,516404,1,58380442,3168,0,part;ixtest_part_size;nation;region;supplier;ixtest_supplier_nationkey;partsupp;_m,0,10.139831542968750000,5.566772460937500000,,
2026-08-10T08:47:12Z,844B9D55A9D926E9,18.4,queries/tpch/tpch-queries/q02/v1_materialized.sql,2,3,2.497276,112.982,2246.722,0.137572,0.007930,0.010694,7168,164621,34078,0,0,3359,3359,24,12,100,516404,1,58380442,3168,0,part;ixtest_part_size;nation;region;supplier;ixtest_supplier_nationkey;partsupp;_m,0,9.995361328125000000,5.506652832031250000,,
2026-08-10T08:47:17Z,844B9D55A9D926E9,18.4,queries/tpch/tpch-queries/q02/v1_materialized.sql,3,3,2.519164,154.042,2208.571,0.156551,0.008905,0.025797,7168,164621,34078,0,0,3359,3359,24,12,100,516404,1,58380442,3168,0,part;ixtest_part_size;nation;region;supplier;ixtest_supplier_nationkey;partsupp;_m,0,9.892150878906250000,5.556762695312500000,,
2026-08-10T08:47:22Z,844B9D55A9D926E9,18.4,queries/tpch/tpch-queries/q02/v2_decorrelate.sql,1,3,2.473090,111.097,2149.828,0.212165,0.016728,0.018721,7168,138151,33557,0,0,257,607,25,11,100,452023,1,8826712,3171,0,region;nation;supplier;ixtest_supplier_nationkey;partsupp;part;ixtest_part_size,0,9.744995117187500000,5.497619628906250000,,
2026-08-10T08:47:28Z,844B9D55A9D926E9,18.4,queries/tpch/tpch-queries/q02/v2_decorrelate.sql,2,3,2.719222,109.823,2397.539,0.211860,0.012766,0.023284,7168,138151,33557,0,0,257,607,25,11,100,452023,1,8826712,3171,0,region;nation;supplier;ixtest_supplier_nationkey;partsupp;part;ixtest_part_size,0,9.495971679687500000,4.804504394531250000,,
2026-08-10T08:47:33Z,844B9D55A9D926E9,18.4,queries/tpch/tpch-queries/q02/v2_decorrelate.sql,3,3,2.683998,62.912,2415.937,0.205149,0.009288,0.025609,7168,138151,33557,0,0,257,607,25,11,100,452023,1,8826712,3171,0,region;nation;supplier;ixtest_supplier_nationkey;partsupp;part;ixtest_part_size,0,9.391235351562500000,4.753479003906250000,,
2026-08-10T08:47:38Z,844B9D55A9D926E9,18.4,queries/tpch/tpch-queries/q03/base.sql,1,3,2.075241,153.816,1709.260,0.212165,0.013375,0.022292,7168,501682,124968,0,0,0,0,12,4,10,1068052,10,16353048,257569,2,orders;customer;ixtest_customer_mktseg;lineitem,0,23.243713378906250000,18.899353027343750000,,
2026-08-10T08:47:44Z,844B9D55A9D926E9,18.4,queries/tpch/tpch-queries/q03/base.sql,2,3,2.107779,155.904,1736.633,0.215242,0.005572,0.029777,7168,501682,124968,0,0,0,0,12,4,10,1068052,10,16353048,257569,2,orders;customer;ixtest_customer_mktseg;lineitem,0,23.676086425781250000,19.443664550781250000,,
2026-08-10T08:47:49Z,844B9D55A9D926E9,18.4,queries/tpch/tpch-queries/q03/base.sql,3,3,2.086955,203.418,1673.758,0.209779,0.013567,0.022192,7168,501682,124968,0,0,0,0,12,4,10,1068052,10,16353048,257569,2,orders;customer;ixtest_customer_mktseg;lineitem,0,23.154113769531250000,18.807495117187500000,,
2026-08-10T08:47:54Z,844B9D55A9D926E9,18.4,queries/tpch/tpch-queries/q03/v1_materialized.sql,1,3,2.088323,154.058,1722.873,0.211392,0.012037,0.023259,7168,501682,124968,0,0,0,0,13,5,10,1079672,10,16864328,257569,2,orders;customer;ixtest_customer_mktseg;lineitem;_m,0,23.452453613281250000,19.192138671875000000,,
2026-08-10T08:47:59Z,844B9D55A9D926E9,18.4,queries/tpch/tpch-queries/q03/v1_materialized.sql,2,3,1.991137,153.706,1724.012,0.113419,0.003406,0.011810,7168,501681,124969,0,0,0,0,13,5,10,1079672,10,16864328,257569,2,orders;customer;ixtest_customer_mktseg;lineitem;_m,0,23.327819824218750000,19.103149414062500000,,
2026-08-10T08:48:05Z,844B9D55A9D926E9,18.4,queries/tpch/tpch-queries/q03/v1_materialized.sql,3,3,2.051218,153.965,1711.942,0.185311,0.011224,0.023647,7168,501681,124969,0,0,0,0,13,5,10,1079672,10,16864328,257569,2,orders;customer;ixtest_customer_mktseg;lineitem;_m,0,23.700500488281250000,19.398010253906250000,,
2026-08-10T08:48:10Z,844B9D55A9D926E9,18.4,queries/tpch/tpch-queries/q04/base.sql,1,3,2.375242,26.463,2185.378,0.163401,0.007073,0.013211,7168,174264,78485,0,0,0,0,8,3,5,219511,5,2825832,1,2,orders;ixtest_orders_orderdate;lineitem,0,14.262634277343750000,9.708984375000000000,,
