timestamp_utc,run_id,pg_version,query,phase,batch_index,copy_index,batchnum,runs,server_planning_ms,server_execution_ms,plan_nodes,scan_nodes,rows_out,rows_processed,rows_estimated,bytes_processed,rows_removed_filter,workers_launched,relations,shared_hit_blks,shared_read_blks,shared_dirtied_blks,shared_written_blks,temp_read_blks,temp_written_blks,failed,cpu_pkg_temp_c
2026-09-18T12:30:59Z,441C7C3B0720E82F,18.4,queries/tpch/SQLStorm/100.sql,warmup,1,1,1,1,1.870,6362.443,27,8,80132,36736739,2499938,1271279440,79868,4,rs;s;lineitem;partsupp;supplier;orders;customer,149303,0,0,0,0,0,0,65.0
2026-09-18T12:31:06Z,441C7C3B0720E82F,18.4,queries/tpch/SQLStorm/100.sql,measured,1,1,1,1,1.872,6499.783,27,8,80132,36736739,2499938,1271279440,79868,4,rs;s;lineitem;partsupp;supplier;orders;customer,149303,0,0,0,0,0,0,71.0
2026-09-18T12:31:09Z,441C7C3B0720E82F,18.4,queries/tpch/SQLStorm/10001.sql,warmup,1,1,1,1,3.119,2766.298,19,7,10,12507222,10,182676732,4,4,partsupp;region;nation;supplier;ixtest_supplier_nationkey;part;lineitem,5388251,0,0,0,0,0,0,71.0
2026-09-18T12:31:11Z,441C7C3B0720E82F,18.4,queries/tpch/SQLStorm/10001.sql,measured,1,1,1,1,3.191,2761.674,19,7,10,12507221,10,182676696,4,4,partsupp;region;nation;supplier;ixtest_supplier_nationkey;part;lineitem,5388251,0,0,0,0,0,0,67.0
2026-09-18T12:31:13Z,441C7C3B0720E82F,18.4,queries/tpch/SQLStorm/10002.sql,warmup,1,1,1,1,3.939,1315.821,18,7,10,4349336,10,126503209,29,4,partsupp;region;nation;supplier;ixtest_supplier_nationkey;lineitem;part,5295864,0,0,0,0,0,0,74.0
2026-09-18T12:31:14Z,441C7C3B0720E82F,18.4,queries/tpch/SQLStorm/10002.sql,measured,1,1,1,1,4.987,1324.378,18,7,10,4349336,10,126503209,29,4,partsupp;region;nation;supplier;ixtest_supplier_nationkey;lineitem;part,5295864,0,0,0,0,0,0,74.0
2026-09-18T12:31:24Z,441C7C3B0720E82F,18.4,queries/tpch/SQLStorm/10003.sql,warmup,1,1,1,1,4.485,10079.531,19,6,10,61612695,10,1237072470,0,4,lineitem;partsupp;orders;customer;supplier;nation,60126996,0,0,0,36314,36319,0,94.0
2026-09-18T12:31:35Z,441C7C3B0720E82F,18.4,queries/tpch/SQLStorm/10003.sql,measured,1,1,1,1,3.708,10633.580,19,6,10,61612695,10,1237072470,0,4,lineitem;partsupp;orders;customer;supplier;nation,60126996,0,0,0,36314,36319,0,96.0
2026-09-18T12:31:37Z,441C7C3B0720E82F,18.4,queries/tpch/SQLStorm/10004.sql,warmup,1,1,1,1,1.455,1342.286,10,3,100,5010200,100,295721400,0,0,part;partsupp;supplier,54557,0,0,0,0,0,0,96.0
2026-09-18T12:31:38Z,441C7C3B0720E82F,18.4,queries/tpch/SQLStorm/10004.sql,measured,1,1,1,1,1.261,1324.940,10,3,100,5010200,100,295721400,0,0,part;partsupp;supplier,54557,0,0,0,0,0,0,92.0
2026-09-18T12:31:40Z,441C7C3B0720E82F,18.4,queries/tpch/SQLStorm/10005.sql,warmup,1,1,1,1,1.167,2198.055,9,3,791914,5793828,264963,366834284,8086,0,part;partsupp;supplier,54557,0,0,0,8932,8933,0,90.0
2026-09-18T12:31:42Z,441C7C3B0720E82F,18.4,queries/tpch/SQLStorm/10005.sql,measured,1,1,1,1,1.151,2196.095,9,3,791914,5793828,264963,366834284,8086,0,part;partsupp;supplier,54557,0,0,0,8932,8933,0,91.0
2026-09-18T12:31:44Z,441C7C3B0720E82F,18.4,queries/tpch/SQLStorm/10006.sql,warmup,1,1,1,1,1.304,1327.515,10,3,100,5010200,100,295721400,0,0,part;partsupp;supplier,54557,0,0,0,0,0,0,91.0
2026-09-18T12:31:45Z,441C7C3B0720E82F,18.4,queries/tpch/SQLStorm/10006.sql,measured,1,1,1,1,1.264,1320.032,10,3,100,5010200,100,295721400,0,0,part;partsupp;supplier,54557,0,0,0,0,0,0,92.0
2026-09-18T12:31:46Z,441C7C3B0720E82F,18.4,queries/tpch/SQLStorm/10007.sql,warmup,1,1,1,1,1.849,441.676,17,6,10,3330029,10,28547104,4,4,lineitem;ixtest_lineitem_shipdate;customer;nation;region;orders,502943,0,0,0,0,0,0,92.0
2026-09-18T12:31:46Z,441C7C3B0720E82F,18.4,queries/tpch/SQLStorm/10007.sql,measured,1,1,1,1,2.765,443.969,17,6,10,3330029,10,28547104,4,4,lineitem;ixtest_lineitem_shipdate;customer;nation;region;orders,502942,0,0,0,0,0,0,89.0
2026-09-18T12:31:48Z,441C7C3B0720E82F,18.4,queries/tpch/SQLStorm/10008.sql,warmup,1,1,1,1,2.327,1570.903,19,5,10,22954315,10,628753360,0,4,lineitem;supplier;nation;orders;customer,140304,0,0,0,0,0,0,93.0
2026-09-18T12:31:50Z,441C7C3B0720E82F,18.4,queries/tpch/SQLStorm/10008.sql,measured,1,1,1,1,2.209,1656.792,19,5,10,22954315,10,628753360,0,4,lineitem;supplier;nation;orders;customer,140304,0,0,0,0,0,0,94.0
2026-09-18T12:31:52Z,441C7C3B0720E82F,18.4,queries/tpch/SQLStorm/10009.sql,warmup,1,1,1,1,1.215,1967.601,12,3,100,5280200,100,302018200,0,3,partsupp;supplier;part,22628,0,0,0,0,0,0,83.0
2026-09-18T12:31:54Z,441C7C3B0720E82F,18.4,queries/tpch/SQLStorm/10009.sql,measured,1,1,1,1,1.202,1925.444,12,3,100,5280200,100,302018200,0,3,partsupp;supplier;part,22628,0,0,0,0,0,0,91.0
2026-09-18T12:31:56Z,441C7C3B0720E82F,18.4,queries/tpch/SQLStorm/10010.sql,warmup,1,1,1,1,1.232,1691.906,9,3,800000,5810000,794889,381300000,0,0,part;partsupp;supplier,54557,0,0,0,9616,9617,0,90.0
2026-09-18T12:31:57Z,441C7C3B0720E82F,18.4,queries/tpch/SQLStorm/10010.sql,measured,1,1,1,1,1.200,1689.114,9,3,800000,5810000,794889,381300000,0,0,part;partsupp;supplier,54557,0,0,0,9616,9617,0,89.0
2026-09-18T12:31:58Z,441C7C3B0720E82F,18.4,queries/tpch/SQLStorm/10011.sql,warmup,1,1,1,1,0.748,311.322,6,2,1,1826988,6,22839365,0,4,lineitem;ixtest_lineitem_shipdate,105028,791,0,0,0,0,0,89.0
2026-09-18T12:31:58Z,441C7C3B0720E82F,18.4,queries/tpch/SQLStorm/10011.sql,measured,1,1,1,1,0.849,312.105,6,2,1,1826988,6,22839365,0,4,lineitem;ixtest_lineitem_shipdate,105819,0,0,0,0,0,0,89.0
2026-09-18T12:32:02Z,441C7C3B0720E82F,18.4,queries/tpch/SQLStorm/10012.sql,warmup,1,1,1,1,7.119,3942.427,25,7,10,44557960,10,1243260280,0,4,lineitem;orders;customer;partsupp;supplier;nation;part,143053,0,0,0,0,0,0,96.0
2026-09-18T12:32:07Z,441C7C3B0720E82F,18.4,queries/tpch/SQLStorm/10012.sql,measured,1,1,1,1,6.329,4239.741,25,7,10,44557960,10,1243260280,0,4,lineitem;orders;customer;partsupp;supplier;nation;part,143052,0,0,0,0,0,0,93.0
2026-09-18T12:32:08Z,441C7C3B0720E82F,18.4,queries/tpch/SQLStorm/10013.sql,warmup,1,1,1,1,2.546,1265.081,20,7,3750,3559694,3750,82475756,29,4,partsupp;nation;region;supplier;ixtest_supplier_nationkey;lineitem;part,5295924,0,0,0,0,0,0,88.0
2026-09-18T12:32:09Z,441C7C3B0720E82F,18.4,queries/tpch/SQLStorm/10013.sql,measured,1,1,1,1,3.099,1278.782,20,7,3750,3559693,3750,82475692,29,4,partsupp;nation;region;supplier;ixtest_supplier_nationkey;lineitem;part,5295923,0,0,0,0,0,0,88.0
2026-09-18T12:32:10Z,441C7C3B0720E82F,18.4,queries/tpch/SQLStorm/10014.sql,warmup,1,1,1,1,1.936,547.529,17,5,10,8273023,10,156320910,0,4,lineitem;orders;ixtest_orders_orderdate;customer;nation,142565,0,0,0,0,0,0,88.0
2026-09-18T12:32:11Z,441C7C3B0720E82F,18.4,queries/tpch/SQLStorm/10014.sql,measured,1,1,1,1,2.054,576.497,17,5,10,8273023,10,156320910,0,4,lineitem;orders;ixtest_orders_orderdate;customer;nation,142565,0,0,0,0,0,0,94.0
2026-09-18T12:32:17Z,441C7C3B0720E82F,18.4,queries/tpch/SQLStorm/10015.sql,warmup,1,1,1,1,2.952,6590.796,16,4,100,36889824,100,1975131432,0,4,lineitem;partsupp;supplier;part,120100,0,0,0,78607,137889,0,94.0
2026-09-18T12:32:24Z,441C7C3B0720E82F,18.4,queries/tpch/SQLStorm/10015.sql,measured,1,1,1,1,2.024,6734.046,16,4,100,36889956,100,1975148988,0,4,lineitem;partsupp;supplier;part,120099,0,0,0,78582,137837,0,94.0
2026-09-18T12:32:26Z,441C7C3B0720E82F,18.4,queries/tpch/SQLStorm/10016.sql,warmup,1,1,1,1,5.870,1510.135,18,7,10,8245702,10,284089247,4,4,partsupp;region;nation;supplier;ixtest_supplier_nationkey;lineitem;part,6493376,0,0,0,0,0,0,89.0
2026-09-18T12:32:27Z,441C7C3B0720E82F,18.4,queries/tpch/SQLStorm/10016.sql,measured,1,1,1,1,5.807,1592.020,18,7,10,8245702,10,284089247,4,4,partsupp;region;nation;supplier;ixtest_supplier_nationkey;lineitem;part,6493376,0,0,0,0,0,0,94.0
2026-09-18T12:32:29Z,441C7C3B0720E82F,18.4,queries/tpch/SQLStorm/10017.sql,warmup,1,1,1,1,1.025,1595.173,8,3,10,7817366,10,120534916,0,0,lineitem;orders;ixtest_orders_orderdate,138931,0,0,0,0,0,0,82.0
2026-09-18T12:32:31Z,441C7C3B0720E82F,18.4,queries/tpch/SQLStorm/10017.sql,measured,1,1,1,1,1.001,1575.738,8,3,10,7817366,10,120534916,0,0,lineitem;orders;ixtest_orders_orderdate,138931,0,0,0,0,0,0,85.0
2026-09-18T12:32:32Z,441C7C3B0720E82F,18.4,queries/tpch/SQLStorm/10018.sql,warmup,1,1,1,1,1.258,1518.349,10,3,100,5010200,100,286120600,0,0,part;partsupp;supplier,54557,0,0,0,0,0,0,93.0
2026-09-18T12:32:34Z,441C7C3B0720E82F,18.4,queries/tpch/SQLStorm/10018.sql,measured,1,1,1,1,1.245,1518.512,10,3,100,5010200,100,286120600,0,0,part;partsupp;supplier,54557,0,0,0,0,0,0,89.0
2026-09-18T12:32:36Z,441C7C3B0720E82F,18.4,queries/tpch/SQLStorm/10019.sql,warmup,1,1,1,1,3.372,1655.752,19,7,10,16011163,10,395309892,4,4,partsupp;region;nation;supplier;ixtest_supplier_nationkey;lineitem;part,5295864,0,0,0,0,0,0,89.0
2026-09-18T12:32:38Z,441C7C3B0720E82F,18.4,queries/tpch/SQLStorm/10019.sql,measured,1,1,1,1,3.423,1663.306,19,7,10,16011163,10,395309892,4,4,partsupp;region;nation;supplier;ixtest_supplier_nationkey;lineitem;part,5295864,0,0,0,0,0,0,85.0
2026-09-18T12:32:38Z,441C7C3B0720E82F,18.4,queries/tpch/SQLStorm/1002.sql,warmup,1,1,1,1,2.268,705.925,37,11,0,368716,1,2949728,9045,0,customer;nation;region;roi;orders;ixtest_orders_orderdate;lineitem;partsupp;supplier,4735,0,0,0,0,0,0,85.0
2026-09-18T12:32:39Z,441C7C3B0720E82F,18.4,queries/tpch/SQLStorm/1002.sql,measured,1,1,1,1,2.272,707.651,37,11,0,368716,1,2949728,9045,0,customer;nation;region;roi;orders;ixtest_orders_orderdate;lineitem;partsupp;supplier,4720,0,0,0,0,0,0,91.0
2026-09-18T12:32:43Z,441C7C3B0720E82F,18.4,queries/tpch/SQLStorm/10020.sql,warmup,1,1,1,1,2.034,3568.460,18,5,25,33756750,25,1098036270,0,4,lineitem;partsupp;supplier;nation;part,116499,0,0,0,0,0,0,95.0
2026-09-18T12:32:47Z,441C7C3B0720E82F,18.4,queries/tpch/SQLStorm/10020.sql,measured,1,1,1,1,2.322,3695.310,18,5,25,33756750,25,1098036270,0,4,lineitem;partsupp;supplier;nation;part,116499,0,0,0,0,0,0,94.0
2026-09-18T12:32:49Z,441C7C3B0720E82F,18.4,queries/tpch/SQLStorm/10021.sql,warmup,1,1,1,1,3.583,1863.610,19,7,10,16011163,10,457298976,4,4,partsupp;region;nation;supplier;ixtest_supplier_nationkey;lineitem;part,5295864,0,0,0,0,0,0,83.0
2026-09-18T12:32:51Z,441C7C3B0720E82F,18.4,queries/tpch/SQLStorm/10021.sql,measured,1,1,1,1,3.290,1866.815,19,7,10,16011163,10,457298976,4,4,partsupp;region;nation;supplier;ixtest_supplier_nationkey;lineitem;part,5295864,0,0,0,0,0,0,89.0
2026-09-18T12:32:52Z,441C7C3B0720E82F,18.4,queries/tpch/SQLStorm/10022.sql,warmup,1,1,1,1,3.541,1334.283,18,7,10,4355126,10,126731819,29,4,partsupp;region;nation;supplier;ixtest_supplier_nationkey;lineitem;part,5295864,0,0,0,0,0,0,90.0
2026-09-18T12:32:53Z,441C7C3B0720E82F,18.4,queries/tpch/SQLStorm/10022.sql,measured,1,1,1,1,4.630,1348.313,18,7,10,4355126,10,126731819,29,4,partsupp;region;nation;supplier;ixtest_supplier_nationkey;lineitem;part,5295864,0,0,0,0,0,0,90.0
2026-09-18T12:32:54Z,441C7C3B0720E82F,18.4,queries/tpch/SQLStorm/10023.sql,warmup,1,1,1,1,1.796,254.936,12,3,10,2970020,10,84421160,0,3,partsupp;supplier;part,19008,0,0,0,0,0,0,90.0
