timestamp_utc,run_id,pg_version,query,runs,n_small,n_large,wall_small_sec,wall_large_sec,slope_wall_sec,intercept_wall_sec,pkg_small_j,pkg_large_j,slope_pkg_j,intercept_pkg_j,core_small_j,core_large_j,slope_core_j,intercept_core_j,failed
2026-08-12T09:01:33Z,DE629114A2E247CB,18.4,queries/tpch/tpch-queries/q01/base.sql,3,1,5,1.829241,9.302291,1.868262,-0.039021,53.772156,252.834717,49.765640,4.006516,51.880615,243.722453,47.960459,3.920156,0
2026-08-12T09:02:07Z,DE629114A2E247CB,18.4,queries/tpch/tpch-queries/q01/v1_materialized.sql,3,1,5,2.089011,10.090372,2.000340,0.088671,45.795654,221.382161,43.896627,1.899028,43.705200,211.652669,41.986867,1.718333,0
2026-08-12T09:32:33Z,DE629114A2E247CB,18.4,queries/tpch/tpch-queries/q02/base.sql,3,1,5,123.362142,524.692723,100.332645,23.029497,1751.971802,7674.537069,1480.641317,271.330485,1637.908203,7178.876729,1385.242132,252.666072,0
2026-08-12T09:54:48Z,DE629114A2E247CB,18.4,queries/tpch/tpch-queries/q02/v1_materialized.sql,3,1,5,90.592524,384.664130,73.517902,17.074622,1349.349121,5630.484090,1070.283742,279.065379,1261.052246,5253.698893,998.161662,262.890584,0
2026-08-12T09:54:53Z,DE629114A2E247CB,18.4,queries/tpch/tpch-queries/q02/v2_decorrelate.sql,3,1,5,0.334938,1.255503,0.230141,0.104797,4.642029,19.990072,3.837011,0.805018,4.249512,18.699198,3.612422,0.637090,0
2026-08-12T09:55:01Z,DE629114A2E247CB,18.4,queries/tpch/tpch-queries/q03/base.sql,3,1,5,0.492385,2.306404,0.453505,0.038880,12.485107,59.979736,11.873657,0.611450,11.713318,56.271729,11.139603,0.573715,0
2026-08-12T09:55:09Z,DE629114A2E247CB,18.4,queries/tpch/tpch-queries/q03/v1_materialized.sql,3,1,5,0.570245,2.281848,0.427901,0.142344,13.168457,60.443441,11.818746,1.349711,12.190735,56.752299,11.140391,1.050344,0
2026-08-12T09:55:13Z,DE629114A2E247CB,18.4,queries/tpch/tpch-queries/q04/base.sql,3,1,5,0.326135,1.124819,0.199671,0.126464,5.917114,29.079915,5.790700,0.126414,5.325684,27.118327,5.448161,-0.122477,0
2026-08-12T09:55:17Z,DE629114A2E247CB,18.4,queries/tpch/tpch-queries/q04/v1_materialized.sql,3,1,5,0.328127,1.186310,0.214546,0.113581,5.705017,31.149862,6.361211,-0.656194,5.127197,29.009583,5.970596,-0.843399,0
2026-08-12T09:55:21Z,DE629114A2E247CB,18.4,queries/tpch/tpch-queries/q04/v2_in.sql,3,1,5,0.301364,1.128572,0.206802,0.094562,7.715332,28.326355,5.152756,2.562576,7.153748,26.325236,4.792872,2.360875,0
2026-08-12T09:55:32Z,DE629114A2E247CB,18.4,queries/tpch/tpch-queries/q05/base.sql,3,1,5,0.604906,2.909164,0.576064,0.028842,11.524292,53.768941,10.561162,0.963130,10.307312,48.496379,9.547267,0.760045,0
2026-08-12T09:55:42Z,DE629114A2E247CB,18.4,queries/tpch/tpch-queries/q05/v1_materialized.sql,3,1,5,0.676838,2.881383,0.551136,0.125702,11.007629,54.020203,10.753143,0.254486,9.781433,48.756877,9.743861,0.037572,0
2026-08-12T09:55:48Z,DE629114A2E247CB,18.4,queries/tpch/tpch-queries/q06/base.sql,3,1,5,0.467004,1.938486,0.367870,0.099134,10.323425,51.794678,10.367813,-0.044388,9.627197,49.511108,9.970978,-0.343781,0
2026-08-12T09:55:55Z,DE629114A2E247CB,18.4,queries/tpch/tpch-queries/q06/v1_materialized.sql,3,1,5,0.561399,1.950394,0.347249,0.214150,10.686951,49.949788,9.815709,0.871241,10.056152,47.748250,9.423024,0.633128,0
2026-08-12T09:56:06Z,DE629114A2E247CB,18.4,queries/tpch/tpch-queries/q07/base.sql,3,1,5,0.755752,3.196008,0.610064,0.145688,12.808533,65.524394,13.178965,-0.370433,11.455872,59.712402,12.064133,-0.608261,0
2026-08-12T09:56:18Z,DE629114A2E247CB,18.4,queries/tpch/tpch-queries/q07/v1_materialized.sql,3,1,5,0.738659,3.227985,0.622332,0.116327,13.895630,65.600220,12.926147,0.969482,12.576294,59.723735,11.786860,0.789434,0
2026-08-12T09:56:29Z,DE629114A2E247CB,18.4,queries/tpch/tpch-queries/q07/v2_union_all.sql,3,1,5,0.757019,3.218340,0.615330,0.141689,13.407837,67.664449,13.564153,-0.156316,11.990295,61.763652,12.443339,-0.453044,0
