timestamp_utc,run_id,pg_version,query,runs,n_small,n_large,wall_small_sec,wall_large_sec,slope_wall_sec,intercept_wall_sec,pkg_small_j,pkg_large_j,slope_pkg_j,intercept_pkg_j,core_small_j,core_large_j,slope_core_j,intercept_core_j,failed
2026-08-12T11:09:04Z,D77D6A589C8C4C8B,18.4,queries/tpch/tpch-queries/q01/base.sql,3,1,5,2.075014,10.335718,2.065176,0.009838,46.895447,226.536235,44.910197,1.985250,44.822205,216.126485,42.826070,1.996134,0
2026-08-12T11:09:40Z,D77D6A589C8C4C8B,18.4,queries/tpch/tpch-queries/q01/v1_materialized.sql,3,1,5,2.150544,10.338979,2.047109,0.103436,47.249390,226.874023,44.906158,2.343231,45.044312,216.600627,42.889079,2.155233,0
2026-08-12T11:09:44Z,D77D6A589C8C4C8B,18.4,queries/tpch/tpch-queries/q02/base.sql,3,1,5,0.301732,1.112779,0.202762,0.098970,2.898621,10.744995,1.961594,0.937027,2.541687,9.572103,1.757604,0.784083,0
2026-08-12T11:09:48Z,D77D6A589C8C4C8B,18.4,queries/tpch/tpch-queries/q02/v1_materialized.sql,3,1,5,0.328530,1.274683,0.236538,0.091992,2.703491,9.891683,1.797048,0.906443,2.310059,8.546244,1.559046,0.751012,0
2026-08-12T11:09:53Z,D77D6A589C8C4C8B,18.4,queries/tpch/tpch-queries/q02/v2_decorrelate.sql,3,1,5,0.322717,1.209194,0.221619,0.101098,2.243103,7.871847,1.407186,0.835917,1.873474,6.648621,1.193787,0.679688,0
2026-08-12T11:10:01Z,D77D6A589C8C4C8B,18.4,queries/tpch/tpch-queries/q03/base.sql,3,1,5,0.575639,2.363316,0.446919,0.128719,12.756348,61.292847,12.134125,0.622223,11.840332,57.571126,11.432699,0.407633,0
2026-08-12T11:10:09Z,D77D6A589C8C4C8B,18.4,queries/tpch/tpch-queries/q03/v1_materialized.sql,3,1,5,0.596212,2.399200,0.450747,0.145465,12.929382,60.882243,11.988215,0.941167,11.971313,57.106588,11.283819,0.687495,0
2026-08-12T11:10:13Z,D77D6A589C8C4C8B,18.4,queries/tpch/tpch-queries/q04/base.sql,3,1,5,0.322528,1.018344,0.173954,0.148574,5.181519,27.427531,5.561503,-0.379985,4.652039,25.689372,5.259333,-0.607295,0
2026-08-12T11:10:17Z,D77D6A589C8C4C8B,18.4,queries/tpch/tpch-queries/q04/v1_materialized.sql,3,1,5,0.313685,1.054580,0.185224,0.128462,5.936707,26.699544,5.190709,0.745997,5.417969,24.895386,4.869354,0.548615,0
2026-08-12T11:10:20Z,D77D6A589C8C4C8B,18.4,queries/tpch/tpch-queries/q04/v2_in.sql,3,1,5,0.323351,1.036385,0.178259,0.145093,5.216248,27.278707,5.515615,-0.299367,4.685669,25.508850,5.205795,-0.520126,0
2026-08-12T11:10:26Z,D77D6A589C8C4C8B,18.4,queries/tpch/tpch-queries/q05/base.sql,3,1,5,0.398484,1.709549,0.327766,0.070718,5.231689,23.964681,4.683248,0.548442,4.617981,21.310893,4.173228,0.444753,0
2026-08-12T11:10:32Z,D77D6A589C8C4C8B,18.4,queries/tpch/tpch-queries/q05/v1_materialized.sql,3,1,5,0.454937,1.703154,0.312054,0.142882,5.112122,23.877747,4.691406,0.420715,4.400513,21.224019,4.205877,0.194636,0
2026-08-12T11:10:34Z,D77D6A589C8C4C8B,18.4,queries/tpch/tpch-queries/q06/base.sql,3,1,5,0.194903,0.459061,0.066040,0.128863,2.388977,9.891622,1.875661,0.513316,2.092163,9.264140,1.792994,0.299169,0
2026-08-12T11:10:36Z,D77D6A589C8C4C8B,18.4,queries/tpch/tpch-queries/q06/v1_materialized.sql,3,1,5,0.181184,0.457167,0.068996,0.112189,2.362000,9.993612,1.907903,0.454096,2.063477,9.345886,1.820602,0.242874,0
2026-08-12T11:11:13Z,D77D6A589C8C4C8B,18.4,queries/tpch/tpch-queries/q07/base.sql,3,1,5,2.266132,10.900885,2.158688,0.107444,50.118103,241.014404,47.724075,2.394028,47.632324,228.917786,45.321365,2.310959,0
2026-08-12T11:11:51Z,D77D6A589C8C4C8B,18.4,queries/tpch/tpch-queries/q07/v1_materialized.sql,3,1,5,2.351765,10.902437,2.137668,0.214097,48.112305,242.315857,48.550888,-0.438583,45.414368,230.113912,46.174886,-0.760518,0
2026-08-12T11:12:16Z,D77D6A589C8C4C8B,18.4,queries/tpch/tpch-queries/q07/v2_union_all.sql,3,1,5,1.584742,7.515277,1.482634,0.102108,29.948608,138.658875,27.177567,2.771042,27.502930,127.032166,24.882309,2.620621,0
2026-08-12T11:12:20Z,D77D6A589C8C4C8B,18.4,queries/tpch/tpch-queries/q08/base.sql,3,1,5,0.298690,1.121526,0.205709,0.092981,4.673218,18.910685,3.559367,1.113851,4.177673,17.087911,3.227559,0.950114,0
2026-08-12T11:12:24Z,D77D6A589C8C4C8B,18.4,queries/tpch/tpch-queries/q08/v1_materialized.sql,3,1,5,0.300389,1.106457,0.201517,0.098872,4.871338,18.826009,3.488668,1.382670,4.295166,17.009359,3.178548,1.116618,0
2026-08-12T11:12:28Z,D77D6A589C8C4C8B,18.4,queries/tpch/tpch-queries/q08/v2_filter.sql,3,1,5,0.338656,1.138897,0.200060,0.138596,4.447937,18.540385,3.523112,0.924825,3.902527,16.678548,3.194005,0.708522,0
2026-08-12T11:12:54Z,D77D6A589C8C4C8B,18.4,queries/tpch/tpch-queries/q09/base.sql,3,1,5,1.621858,7.530714,1.477214,0.144644,31.999756,161.950785,32.487757,-0.488002,29.557251,150.463745,30.226624,-0.669373,0
2026-08-12T11:13:20Z,D77D6A589C8C4C8B,18.4,queries/tpch/tpch-queries/q09/v1_materialized.sql,3,1,5,1.581583,7.524314,1.485683,0.095901,32.039062,162.177958,32.534724,-0.495661,29.742859,150.640198,30.224335,-0.481476,0
2026-08-12T11:13:27Z,D77D6A589C8C4C8B,18.4,queries/tpch/tpch-queries/q10/base.sql,3,1,5,0.548961,1.997823,0.362215,0.186746,11.534302,49.562154,9.506963,2.027339,10.620239,46.559265,8.984756,1.635483,0
2026-08-12T11:13:35Z,D77D6A589C8C4C8B,18.4,queries/tpch/tpch-queries/q10/v1_materialized.sql,3,1,5,0.530179,2.149652,0.404868,0.125310,11.036560,49.588196,9.637909,1.398651,10.227112,46.362162,9.033763,1.193349,0
2026-08-12T11:13:37Z,D77D6A589C8C4C8B,18.4,queries/tpch/tpch-queries/q11/base.sql,3,1,5,0.187317,0.532707,0.086347,0.100970,1.527283,4.099792,0.643127,0.884155,1.237793,3.451986,0.553548,0.684245,0
2026-08-12T11:13:39Z,D77D6A589C8C4C8B,18.4,queries/tpch/tpch-queries/q11/v1_materialized.sql,3,1,5,0.198492,0.567783,0.092323,0.106170,1.414734,3.907064,0.623082,0.791651,1.149658,3.295553,0.536474,0.613185,0
2026-08-12T11:13:41Z,D77D6A589C8C4C8B,18.4,queries/tpch/tpch-queries/q11/v2_cte_threshold.sql,3,1,5,0.199282,0.544526,0.086311,0.112970,1.365906,3.854309,0.622101,0.743805,1.104553,3.279073,0.543630,0.560923,0
2026-08-12T11:13:51Z,D77D6A589C8C4C8B,18.4,queries/tpch/tpch-queries/q12/base.sql,3,1,5,0.687340,3.083530,0.599048,0.088292,17.152832,84.494181,16.835337,0.317495,16.088989,79.713114,15.906031,0.182958,0
2026-08-12T11:14:04Z,D77D6A589C8C4C8B,18.4,queries/tpch/tpch-queries/q12/v1_materialized.sql,3,1,5,0.741042,3.648831,0.726947,0.014094,17.129883,82.774821,16.411235,0.718648,15.934265,75.981222,15.011739,0.922526,0
2026-08-12T11:14:16Z,D77D6A589C8C4C8B,18.4,queries/tpch/tpch-queries/q12/v2_filter.sql,3,1,5,0.858156,3.333299,0.618786,0.239370,18.748535,72.961955,13.553355,5.195180,17.164978,67.785746,12.655192,4.509786,0
2026-08-12T11:14:28Z,D77D6A589C8C4C8B,18.4,queries/tpch/tpch-queries/q13/base.sql,3,1,5,0.841910,3.675470,0.708390,0.133520,12.054626,56.594645,11.135005,0.919622,10.788391,51.480632,10.173060,0.615331,0
2026-08-12T11:14:41Z,D77D6A589C8C4C8B,18.4,queries/tpch/tpch-queries/q13/v1_materialized.sql,3,1,5,0.834242,3.594434,0.690048,0.144194,11.751770,56.024068,11.068075,0.683695,10.580139,50.936991,10.089213,0.490926,0
2026-08-12T11:15:17Z,D77D6A589C8C4C8B,18.4,queries/tpch/tpch-queries/q13/v2_correlated.sql,3,1,5,2.356528,10.488952,2.033106,0.323422,20.670227,99.995667,19.831360,0.838867,18.463379,90.288310,17.956233,0.507146,0
2026-08-12T11:15:20Z,D77D6A589C8C4C8B,18.4,queries/tpch/tpch-queries/q14/base.sql,3,1,5,0.295821,0.763238,0.116854,0.178967,5.709961,14.127238,2.104319,3.605642,5.272766,13.232808,1.990011,3.282756,0
2026-08-12T11:15:23Z,D77D6A589C8C4C8B,18.4,queries/tpch/tpch-queries/q14/v1_materialized.sql,3,1,5,0.248539,0.771788,0.130812,0.117727,3.581482,13.680603,2.524780,1.056702,3.255249,12.728902,2.368413,0.886836,0
2026-08-12T11:15:26Z,D77D6A589C8C4C8B,18.4,queries/tpch/tpch-queries/q14/v2_filter.sql,3,1,5,0.250454,0.776163,0.131427,0.119027,3.575500,13.869548,2.573512,1.001989,3.251648,12.940633,2.422246,0.829402,0
2026-08-12T11:15:32Z,D77D6A589C8C4C8B,18.4,queries/tpch/tpch-queries/q15/base.sql,3,1,5,0.499170,1.713704,0.303634,0.195536,11.038086,46.810527,8.943110,2.094976,10.385925,44.276286,8.472590,1.913335,0
2026-08-12T11:15:38Z,D77D6A589C8C4C8B,18.4,queries/tpch/tpch-queries/q15/v1_materialized.sql,3,1,5,0.423259,1.702296,0.319759,0.103500,8.700317,47.519267,9.704737,-1.004420,8.063354,44.989827,9.231618,-1.168264,0
2026-08-12T11:15:42Z,D77D6A589C8C4C8B,18.4,queries/tpch/tpch-queries/q16/base.sql,3,1,5,0.346282,1.323078,0.244199,0.102083,6.540771,30.114950,5.893545,0.647227,6.061340,28.420614,5.589818,0.471522,0
2026-08-12T11:15:47Z,D77D6A589C8C4C8B,18.4,queries/tpch/tpch-queries/q16/v1_materialized.sql,3,1,5,0.344766,1.338501,0.248434,0.096332,6.599426,30.218892,5.904867,0.694560,6.114990,28.461914,5.586731,0.528259,0
2026-08-12T11:15:51Z,D77D6A589C8C4C8B,18.4,queries/tpch/tpch-queries/q16/v2_not_exists.sql,3,1,5,0.316671,1.163546,0.211719,0.104952,5.387939,24.525330,4.784348,0.603592,5.018494,23.345032,4.581635,0.436859,0
2026-08-12T11:16:30Z,D77D6A589C8C4C8B,18.4,queries/tpch/tpch-queries/q17/v2_decorrelate.sql,3,1,5,2.296349,11.469779,2.293358,0.002991,50.214722,242.485982,48.067815,2.146907,46.932678,226.221049,44.822093,2.110586,0
2026-08-12T11:17:21Z,D77D6A589C8C4C8B,18.4,queries/tpch/tpch-queries/q18/base.sql,3,1,5,3.170829,14.934400,2.940893,0.229937,77.302490,331.166829,63.466085,13.836405,74.081482,316.293905,60.553106,13.528376,0
2026-08-12T11:18:07Z,D77D6A589C8C4C8B,18.4,queries/tpch/tpch-queries/q18/v1_materialized.sql,3,1,5,2.842380,13.343435,2.625264,0.217116,63.023499,292.575521,57.388006,5.635493,60.020813,278.985901,54.741272,5.279541,0
2026-08-12T11:18:58Z,D77D6A589C8C4C8B,18.4,queries/tpch/tpch-queries/q18/v2_join.sql,3,1,5,3.339181,14.939434,2.900063,0.439118,73.400146,327.748088,63.586985,9.813161,69.960693,312.781474,60.705195,9.255498,0
