tier,band,query,e1_j,t1_s,workers,repeats,staged
reference,0-2 J,queries/tpch/SQLStorm/14616.sql,0.50457763671875,0.069434,4,10,queries/tpch/sqlstorm_slope/reference/14616.sql
reference,0-2 J,queries/tpch/SQLStorm/28614.sql,0.55078125,0.078991,2,10,queries/tpch/sqlstorm_slope/reference/28614.sql
reference,0-2 J,queries/tpch/SQLStorm/10945.sql,0.90789794921875,0.102326,4,10,queries/tpch/sqlstorm_slope/reference/10945.sql
reference,0-2 J,queries/tpch/SQLStorm/26382.sql,1.032470703125,0.115426,2,10,queries/tpch/sqlstorm_slope/reference/26382.sql
breadth,0-2 J,queries/tpch/SQLStorm/26559.sql,0.36669921875,0.059462,0,3,queries/tpch/sqlstorm_slope/breadth/26559.sql
breadth,0-2 J,queries/tpch/SQLStorm/16563.sql,0.37249755859375,0.058483,0,3,queries/tpch/sqlstorm_slope/breadth/16563.sql
breadth,0-2 J,queries/tpch/SQLStorm/29774.sql,0.3875732421875,0.061017,0,3,queries/tpch/sqlstorm_slope/breadth/29774.sql
breadth,0-2 J,queries/tpch/SQLStorm/25027.sql,0.39703369140625,0.062965,0,3,queries/tpch/sqlstorm_slope/breadth/25027.sql
breadth,0-2 J,queries/tpch/SQLStorm/29233.sql,0.41058349609375,0.064036,0,3,queries/tpch/sqlstorm_slope/breadth/29233.sql
breadth,0-2 J,queries/tpch/SQLStorm/28716.sql,0.42645263671875,0.074522,0,3,queries/tpch/sqlstorm_slope/breadth/28716.sql
breadth,0-2 J,queries/tpch/SQLStorm/11504.sql,0.486083984375,0.072449,4,3,queries/tpch/sqlstorm_slope/breadth/11504.sql
breadth,0-2 J,queries/tpch/SQLStorm/27580.sql,0.495361328125,0.078661,2,3,queries/tpch/sqlstorm_slope/breadth/27580.sql
breadth,0-2 J,queries/tpch/SQLStorm/7408.sql,0.544921875,0.07418,4,3,queries/tpch/sqlstorm_slope/breadth/7408.sql
breadth,0-2 J,queries/tpch/SQLStorm/25757.sql,0.5772705078125,0.07832,2,3,queries/tpch/sqlstorm_slope/breadth/25757.sql
breadth,0-2 J,queries/tpch/SQLStorm/30223.sql,0.58367919921875,0.084194,2,3,queries/tpch/sqlstorm_slope/breadth/30223.sql
breadth,0-2 J,queries/tpch/SQLStorm/25517.sql,0.59619140625,0.080682,2,3,queries/tpch/sqlstorm_slope/breadth/25517.sql
breadth,0-2 J,queries/tpch/SQLStorm/27308.sql,0.60162353515625,0.085016,2,3,queries/tpch/sqlstorm_slope/breadth/27308.sql
breadth,0-2 J,queries/tpch/SQLStorm/29821.sql,0.60357666015625,0.083914,2,3,queries/tpch/sqlstorm_slope/breadth/29821.sql
breadth,0-2 J,queries/tpch/SQLStorm/26572.sql,0.6121826171875,0.085207,2,3,queries/tpch/sqlstorm_slope/breadth/26572.sql
breadth,0-2 J,queries/tpch/SQLStorm/28487.sql,0.6220703125,0.085222,2,3,queries/tpch/sqlstorm_slope/breadth/28487.sql
breadth,0-2 J,queries/tpch/SQLStorm/26423.sql,0.62762451171875,0.088039,2,3,queries/tpch/sqlstorm_slope/breadth/26423.sql
breadth,0-2 J,queries/tpch/SQLStorm/20247.sql,0.6373291015625,0.085249,2,3,queries/tpch/sqlstorm_slope/breadth/20247.sql
breadth,0-2 J,queries/tpch/SQLStorm/32060.sql,0.6845703125,0.090647,2,3,queries/tpch/sqlstorm_slope/breadth/32060.sql
breadth,0-2 J,queries/tpch/SQLStorm/20177.sql,0.71710205078125,0.128619,0,3,queries/tpch/sqlstorm_slope/breadth/20177.sql
breadth,0-2 J,queries/tpch/SQLStorm/32319.sql,0.77459716796875,0.136638,0,3,queries/tpch/sqlstorm_slope/breadth/32319.sql
breadth,0-2 J,queries/tpch/SQLStorm/25120.sql,0.81390380859375,0.138937,0,3,queries/tpch/sqlstorm_slope/breadth/25120.sql
breadth,0-2 J,queries/tpch/SQLStorm/24422.sql,1.05340576171875,0.197479,0,3,queries/tpch/sqlstorm_slope/breadth/24422.sql
breadth,0-2 J,queries/tpch/SQLStorm/15906.sql,1.17333984375,0.129605,2,3,queries/tpch/sqlstorm_slope/breadth/15906.sql
breadth,0-2 J,queries/tpch/SQLStorm/33383.sql,1.2012939453125,0.160262,4,3,queries/tpch/sqlstorm_slope/breadth/33383.sql
breadth,0-2 J,queries/tpch/SQLStorm/2888.sql,1.3629150390625,0.251908,0,3,queries/tpch/sqlstorm_slope/breadth/2888.sql
breadth,0-2 J,queries/tpch/SQLStorm/16900.sql,1.49066162109375,0.129765,4,3,queries/tpch/sqlstorm_slope/breadth/16900.sql
breadth,0-2 J,queries/tpch/SQLStorm/21341.sql,1.66925048828125,0.210669,2,3,queries/tpch/sqlstorm_slope/breadth/21341.sql
breadth,0-2 J,queries/tpch/SQLStorm/11198.sql,1.83001708984375,0.227799,4,3,queries/tpch/sqlstorm_slope/breadth/11198.sql
breadth,0-2 J,queries/tpch/SQLStorm/1707.sql,1.92120361328125,0.332461,0,3,queries/tpch/sqlstorm_slope/breadth/1707.sql
reference,2-7.5 J,queries/tpch/SQLStorm/10538.sql,2.22735595703125,0.186294,4,10,queries/tpch/sqlstorm_slope/reference/10538.sql
reference,2-7.5 J,queries/tpch/SQLStorm/5820.sql,4.3870849609375,0.365783,3,10,queries/tpch/sqlstorm_slope/reference/5820.sql
reference,2-7.5 J,queries/tpch/SQLStorm/14523.sql,5.54595947265625,0.468076,4,10,queries/tpch/sqlstorm_slope/reference/14523.sql
reference,2-7.5 J,queries/tpch/SQLStorm/15338.sql,7.33880615234375,1.31248,0,10,queries/tpch/sqlstorm_slope/reference/15338.sql
breadth,2-7.5 J,queries/tpch/SQLStorm/25859.sql,2.06854248046875,0.219195,4,3,queries/tpch/sqlstorm_slope/breadth/25859.sql
breadth,2-7.5 J,queries/tpch/SQLStorm/28434.sql,2.221435546875,0.398123,0,3,queries/tpch/sqlstorm_slope/breadth/28434.sql
breadth,2-7.5 J,queries/tpch/SQLStorm/2862.sql,2.38006591796875,0.236766,4,3,queries/tpch/sqlstorm_slope/breadth/2862.sql
breadth,2-7.5 J,queries/tpch/SQLStorm/25773.sql,2.768798828125,0.309078,3,3,queries/tpch/sqlstorm_slope/breadth/25773.sql
breadth,2-7.5 J,queries/tpch/SQLStorm/15671.sql,3.06695556640625,0.223231,4,3,queries/tpch/sqlstorm_slope/breadth/15671.sql
breadth,2-7.5 J,queries/tpch/SQLStorm/17094.sql,3.1611328125,0.245434,3,3,queries/tpch/sqlstorm_slope/breadth/17094.sql
breadth,2-7.5 J,queries/tpch/SQLStorm/25600.sql,3.33203125,0.308748,4,3,queries/tpch/sqlstorm_slope/breadth/25600.sql
breadth,2-7.5 J,queries/tpch/SQLStorm/16293.sql,3.44287109375,0.255464,3,3,queries/tpch/sqlstorm_slope/breadth/16293.sql
breadth,2-7.5 J,queries/tpch/SQLStorm/28601.sql,3.520263671875,0.322564,4,3,queries/tpch/sqlstorm_slope/breadth/28601.sql
breadth,2-7.5 J,queries/tpch/SQLStorm/13074.sql,3.74713134765625,0.393884,2,3,queries/tpch/sqlstorm_slope/breadth/13074.sql
breadth,2-7.5 J,queries/tpch/SQLStorm/14053.sql,3.900390625,0.280327,4,3,queries/tpch/sqlstorm_slope/breadth/14053.sql
