timestamp_utc,run_id,pg_version,query,phase,batch_index,copy_index,batchnum,runs,server_planning_ms,server_execution_ms,plan_nodes,scan_nodes,rows_out,rows_processed,rows_estimated,bytes_processed,rows_removed_filter,workers_launched,relations,shared_hit_blks,shared_read_blks,shared_dirtied_blks,shared_written_blks,temp_read_blks,temp_written_blks,failed,pkg_temp_start_c,mhz_mean
2026-09-19T18:14:07Z,40B1774344BF4E71,18.4,queries/tpch/SQLStorm/100.sql,warmup,1,1,1,1,16.005,8113.109,27,8,80132,36736739,2499938,1271279440,79868,4,rs;s;lineitem;partsupp;supplier;orders;customer,45929,103277,0,0,0,0,0,42.0,2162
2026-09-19T18:14:14Z,40B1774344BF4E71,18.4,queries/tpch/SQLStorm/100.sql,measured,1,1,1,1,2.709,7162.048,27,8,80132,36736739,2499938,1271279440,79868,4,rs;s;lineitem;partsupp;supplier;orders;customer,149303,0,0,0,0,0,0,48.0,1918
2026-09-19T18:14:18Z,40B1774344BF4E71,18.4,queries/tpch/SQLStorm/10001.sql,warmup,1,1,1,1,8.819,3581.869,19,7,10,12507138,10,182676588,4,4,partsupp;region;nation;supplier;ixtest_supplier_nationkey;part;lineitem,5382198,6053,0,0,0,0,0,54.0,1340
2026-09-19T18:14:22Z,40B1774344BF4E71,18.4,queries/tpch/SQLStorm/10001.sql,measured,1,1,1,1,4.370,3470.307,19,7,10,12507312,10,182677092,4,4,partsupp;region;nation;supplier;ixtest_supplier_nationkey;part;lineitem,5388251,0,0,0,0,0,0,55.0,1290
2026-09-19T18:14:23Z,40B1774344BF4E71,18.4,queries/tpch/SQLStorm/10002.sql,warmup,1,1,1,1,4.979,1488.812,18,7,10,4349336,10,126503209,29,4,partsupp;region;nation;supplier;ixtest_supplier_nationkey;lineitem;part,5295859,4,0,0,0,0,0,50.0,2008
2026-09-19T18:14:25Z,40B1774344BF4E71,18.4,queries/tpch/SQLStorm/10002.sql,measured,1,1,1,1,4.901,1488.428,18,7,10,4349336,10,126503209,29,4,partsupp;region;nation;supplier;ixtest_supplier_nationkey;lineitem;part,5295863,0,0,0,0,0,0,60.0,2270
2026-09-19T18:14:41Z,40B1774344BF4E71,18.4,queries/tpch/SQLStorm/10003.sql,warmup,1,1,1,1,14.261,13996.411,19,6,10,61612695,10,1237072470,0,4,lineitem;partsupp;orders;customer;supplier;nation,60122452,4544,0,0,36315,36320,0,49.0,2186
2026-09-19T18:14:55Z,40B1774344BF4E71,18.4,queries/tpch/SQLStorm/10003.sql,measured,1,1,1,1,5.492,13739.620,19,6,10,61612695,10,1237072470,0,4,lineitem;partsupp;orders;customer;supplier;nation,60126996,0,0,0,36315,36320,0,65.0,2139
2026-09-19T18:14:59Z,40B1774344BF4E71,18.4,queries/tpch/SQLStorm/10004.sql,warmup,1,1,1,1,1.738,2338.456,10,3,100,5010200,100,295721400,0,0,part;partsupp;supplier,35845,18712,0,0,0,0,0,59.0,838
2026-09-19T18:15:01Z,40B1774344BF4E71,18.4,queries/tpch/SQLStorm/10004.sql,measured,1,1,1,1,1.741,1902.728,10,3,100,5010200,100,295721400,0,0,part;partsupp;supplier,54557,0,0,0,0,0,0,66.0,1056
2026-09-19T18:15:07Z,40B1774344BF4E71,18.4,queries/tpch/SQLStorm/10005.sql,warmup,1,1,1,1,1.545,3087.317,9,3,791914,5793828,264963,366834284,8086,0,part;partsupp;supplier,54557,0,0,0,8932,8933,0,56.0,974
2026-09-19T18:15:10Z,40B1774344BF4E71,18.4,queries/tpch/SQLStorm/10005.sql,measured,1,1,1,1,1.551,3074.760,9,3,791914,5793828,264963,366834284,8086,0,part;partsupp;supplier,54557,0,0,0,8932,8933,0,64.0,1122
2026-09-19T18:15:14Z,40B1774344BF4E71,18.4,queries/tpch/SQLStorm/10006.sql,warmup,1,1,1,1,1.723,1874.685,10,3,100,5010200,100,295721400,0,0,part;partsupp;supplier,54557,0,0,0,0,0,0,54.0,978
2026-09-19T18:15:16Z,40B1774344BF4E71,18.4,queries/tpch/SQLStorm/10006.sql,measured,1,1,1,1,1.729,1883.836,10,3,100,5010200,100,295721400,0,0,part;partsupp;supplier,54557,0,0,0,0,0,0,55.0,1188
2026-09-19T18:15:17Z,40B1774344BF4E71,18.4,queries/tpch/SQLStorm/10007.sql,warmup,1,1,1,1,2.787,581.961,17,6,10,3330029,10,28547104,4,4,lineitem;ixtest_lineitem_shipdate;customer;nation;region;orders,500619,2323,0,0,0,0,0,54.0,1975
2026-09-19T18:15:17Z,40B1774344BF4E71,18.4,queries/tpch/SQLStorm/10007.sql,measured,1,1,1,1,2.758,552.155,17,6,10,3330029,10,28547104,4,4,lineitem;ixtest_lineitem_shipdate;customer;nation;region;orders,502942,0,0,0,0,0,0,54.0,2172
2026-09-19T18:15:22Z,40B1774344BF4E71,18.4,queries/tpch/SQLStorm/10008.sql,warmup,1,1,1,1,2.858,1983.853,19,5,10,22954315,10,628753360,0,4,lineitem;supplier;nation;orders;customer,140304,0,0,0,0,0,0,53.0,2142
2026-09-19T18:15:24Z,40B1774344BF4E71,18.4,queries/tpch/SQLStorm/10008.sql,measured,1,1,1,1,2.848,1984.513,19,5,10,22954315,10,628753360,0,4,lineitem;supplier;nation;orders;customer,140304,0,0,0,0,0,0,68.0,2309
2026-09-19T18:15:29Z,40B1774344BF4E71,18.4,queries/tpch/SQLStorm/10009.sql,warmup,1,1,1,1,1.649,2718.110,12,3,100,5280200,100,302018200,0,3,partsupp;supplier;part,22584,44,0,0,0,0,0,54.0,1956
2026-09-19T18:15:32Z,40B1774344BF4E71,18.4,queries/tpch/SQLStorm/10009.sql,measured,1,1,1,1,1.642,2676.995,12,3,100,5280200,100,302018200,0,3,partsupp;supplier;part,22628,0,0,0,0,0,0,64.0,1806
2026-09-19T18:15:36Z,40B1774344BF4E71,18.4,queries/tpch/SQLStorm/10010.sql,warmup,1,1,1,1,1.600,2379.624,9,3,800000,5810000,794889,381300000,0,0,part;partsupp;supplier,54557,0,0,0,9616,9617,0,54.0,1471
2026-09-19T18:15:39Z,40B1774344BF4E71,18.4,queries/tpch/SQLStorm/10010.sql,measured,1,1,1,1,1.601,2383.558,9,3,800000,5810000,794889,381300000,0,0,part;partsupp;supplier,54557,0,0,0,9616,9617,0,63.0,1490
2026-09-19T18:15:41Z,40B1774344BF4E71,18.4,queries/tpch/SQLStorm/10011.sql,warmup,1,1,1,1,1.006,428.820,6,2,1,1826988,6,22839365,0,4,lineitem;ixtest_lineitem_shipdate,105028,791,0,0,0,0,0,52.0,1625
2026-09-19T18:15:42Z,40B1774344BF4E71,18.4,queries/tpch/SQLStorm/10011.sql,measured,1,1,1,1,0.999,417.419,6,2,1,1826988,6,22839365,0,4,lineitem;ixtest_lineitem_shipdate,105819,0,0,0,0,0,0,52.0,1537
2026-09-19T18:15:50Z,40B1774344BF4E71,18.4,queries/tpch/SQLStorm/10012.sql,warmup,1,1,1,1,7.809,5188.988,25,7,10,44557960,10,1243260280,0,4,lineitem;orders;customer;partsupp;supplier;nation;part,143052,0,0,0,0,0,0,52.0,2033
2026-09-19T18:15:55Z,40B1774344BF4E71,18.4,queries/tpch/SQLStorm/10012.sql,measured,1,1,1,1,7.962,5182.290,25,7,10,44557960,10,1243260280,0,4,lineitem;orders;customer;partsupp;supplier;nation;part,143053,0,0,0,0,0,0,68.0,2121
