timestamp_utc,run_id,pg_version,query,phase,batch_index,copy_index,batchnum,runs,server_planning_ms,server_execution_ms,plan_nodes,scan_nodes,rows_out,rows_processed,rows_estimated,bytes_processed,rows_removed_filter,workers_launched,relations,shared_hit_blks,shared_read_blks,shared_dirtied_blks,shared_written_blks,temp_read_blks,temp_written_blks,failed
2026-09-17T10:53:47Z,6A11CC807E0973B9,18.4,queries/tpch/tpch-queries/q04/base.sql,warmup,1,1,1,1,8.663,1447.533,8,3,5,219519,5,2826040,1,3,orders;ixtest_orders_orderdate;lineitem,174294,78483,0,0,0,0,0
2026-09-17T10:53:47Z,6A11CC807E0973B9,18.4,queries/tpch/tpch-queries/q04/base.sql,warmup,2,1,1,1,1.071,90.730,8,3,5,219519,5,2826040,1,3,orders;ixtest_orders_orderdate;lineitem,252777,0,0,0,0,0,0
2026-09-17T10:53:47Z,6A11CC807E0973B9,18.4,queries/tpch/tpch-queries/q04/base.sql,measured,1,1,1,1,1.059,89.057,8,3,5,219519,5,2826040,1,3,orders;ixtest_orders_orderdate;lineitem,252777,0,0,0,0,0,0
2026-09-17T10:53:47Z,6A11CC807E0973B9,18.4,queries/tpch/tpch-queries/q04/base.sql,measured,1,1,2,1,1.390,111.287,8,3,5,219519,5,2826040,1,3,orders;ixtest_orders_orderdate;lineitem,252777,0,0,0,0,0,0
2026-09-17T10:53:47Z,6A11CC807E0973B9,18.4,queries/tpch/tpch-queries/q04/base.sql,measured,1,2,2,1,0.237,91.184,8,3,5,219519,5,2826040,1,3,orders;ixtest_orders_orderdate;lineitem,252777,0,0,0,0,0,0
2026-09-17T10:53:48Z,6A11CC807E0973B9,18.4,queries/tpch/tpch-queries/q04/base.sql,measured,1,1,4,1,1.102,98.838,8,3,5,219519,5,2826040,1,3,orders;ixtest_orders_orderdate;lineitem,252777,0,0,0,0,0,0
2026-09-17T10:53:48Z,6A11CC807E0973B9,18.4,queries/tpch/tpch-queries/q04/base.sql,measured,1,2,4,1,0.223,93.757,8,3,5,219519,5,2826040,1,3,orders;ixtest_orders_orderdate;lineitem,252777,0,0,0,0,0,0
2026-09-17T10:53:48Z,6A11CC807E0973B9,18.4,queries/tpch/tpch-queries/q04/base.sql,measured,1,3,4,1,0.229,78.954,8,3,5,219519,5,2826040,1,3,orders;ixtest_orders_orderdate;lineitem,252777,0,0,0,0,0,0
2026-09-17T10:53:48Z,6A11CC807E0973B9,18.4,queries/tpch/tpch-queries/q04/base.sql,measured,1,4,4,1,0.226,80.061,8,3,5,219519,5,2826040,1,3,orders;ixtest_orders_orderdate;lineitem,252777,0,0,0,0,0,0
2026-09-17T10:53:49Z,6A11CC807E0973B9,18.4,queries/tpch/tpch-queries/q04/base.sql,measured,1,1,8,1,1.135,96.670,8,3,5,219519,5,2826040,1,3,orders;ixtest_orders_orderdate;lineitem,252777,0,0,0,0,0,0
2026-09-17T10:53:49Z,6A11CC807E0973B9,18.4,queries/tpch/tpch-queries/q04/base.sql,measured,1,2,8,1,0.234,79.465,8,3,5,219519,5,2826040,1,3,orders;ixtest_orders_orderdate;lineitem,252777,0,0,0,0,0,0
2026-09-17T10:53:49Z,6A11CC807E0973B9,18.4,queries/tpch/tpch-queries/q04/base.sql,measured,1,3,8,1,0.245,78.671,8,3,5,219519,5,2826040,1,3,orders;ixtest_orders_orderdate;lineitem,252777,0,0,0,0,0,0
2026-09-17T10:53:49Z,6A11CC807E0973B9,18.4,queries/tpch/tpch-queries/q04/base.sql,measured,1,4,8,1,0.225,79.172,8,3,5,219519,5,2826040,1,3,orders;ixtest_orders_orderdate;lineitem,252777,0,0,0,0,0,0
2026-09-17T10:53:49Z,6A11CC807E0973B9,18.4,queries/tpch/tpch-queries/q04/base.sql,measured,1,5,8,1,0.233,79.192,8,3,5,219519,5,2826040,1,3,orders;ixtest_orders_orderdate;lineitem,252777,0,0,0,0,0,0
