timestamp_utc,run_id,pg_version,query,phase,batch_index,batchnum,runs,warmup,elapsed_sec,avg_copy_elapsed_sec,server_sum_ms,client_overhead_sec,client_user_cpu_sec,client_sys_cpu_sec,client_max_rss_kb,failed,rapl_pkg_j,rapl_core_j,rapl_gpu_j,rapl_dram_j,pkg_temp_start_c,pkg_temp_end_c,pkg_temp_mean_c,pkg_temp_max_c,core_temp_max_c,mhz_mean,throttle_core_delta,throttle_pkg_delta,idle_before_s,preheat_s,cooldown_wait_s,pkg_watts_mean
2026-09-18T15:38:25Z,016774FBD853B39C,18.4,queries/tpch/tpch-queries/q07/base.sql,warmup,1,1,1,2,13.883479,13.883479,13640.330,0.243149,0.022506,0.015016,9600,0,108.182189941406250000,78.809265136718750000,,,59.0,57.0,58.00,68.0,68.0,1954,0,0,,0.0,0.0,7.792
2026-09-18T15:38:26Z,016774FBD853B39C,18.4,queries/tpch/tpch-queries/q07/base.sql,warmup,2,1,1,2,0.717369,0.717369,616.549,0.100820,0.061929,0.030710,9600,0,10.624450683593750000,9.605102539062500000,,,57.0,57.0,57.00,57.0,56.0,1659,0,0,0.000,0.0,0.0,14.810
2026-09-18T15:38:27Z,016774FBD853B39C,18.4,queries/tpch/tpch-queries/q07/base.sql,measured,1,1,1,2,0.663733,0.663733,614.674,0.049059,0.029085,0.012344,9728,0,10.905761718750000000,9.909912109375000000,,,57.0,71.0,67.50,71.0,71.0,2119,0,0,0.000,0.0,0.0,16.431
2026-09-18T15:38:28Z,016774FBD853B39C,18.4,queries/tpch/tpch-queries/q07/base.sql,measured,1,2,1,2,1.304879,0.652439,1212.762,0.092117,0.050738,0.031106,9472,0,19.728515625000000000,17.856323242187500000,,,71.0,61.0,68.86,71.0,71.0,2194,0,0,0.001,0.0,0.0,15.119
2026-09-18T15:38:31Z,016774FBD853B39C,18.4,queries/tpch/tpch-queries/q07/base.sql,measured,1,4,1,2,2.487062,0.621765,2424.436,0.062626,0.028922,0.018736,9600,0,40.302978515625000000,36.165527343750000000,,,61.0,70.0,66.15,70.0,70.0,2186,0,0,0.000,0.0,0.0,16.205
2026-09-18T15:38:36Z,016774FBD853B39C,18.4,queries/tpch/tpch-queries/q07/base.sql,measured,1,8,1,2,4.797784,0.599723,4709.976,0.087808,0.046767,0.017510,9600,0,78.392883300781250000,71.695800781250000000,,,70.0,76.0,72.58,76.0,76.0,2346,0,0,0.000,0.0,0.0,16.339
2026-09-18T15:38:46Z,016774FBD853B39C,18.4,queries/tpch/tpch-queries/q07/base.sql,measured,1,16,1,2,9.472137,0.592009,9389.440,0.082697,0.026158,0.015008,9728,0,158.390136718750000000,144.860656738281250000,,,76.0,67.0,76.42,80.0,80.0,2102,0,0,0.042,0.0,0.0,16.722
2026-09-18T15:38:53Z,7DE290847A8B99A9,18.4,queries/tpch/tpch-queries/q14/base.sql,warmup,1,1,1,2,1.689752,1.689752,1585.787,0.103965,0.032928,0.020606,9600,0,15.259887695312500000,11.598083496093750000,,,60.0,66.0,62.67,66.0,66.0,1906,0,0,5.677,0.0,2.0,9.031
2026-09-18T15:38:53Z,7DE290847A8B99A9,18.4,queries/tpch/tpch-queries/q14/base.sql,warmup,2,1,1,2,0.241303,0.241303,142.913,0.098390,0.055322,0.037465,9600,0,5.048889160156250000,4.630859375000000000,,,66.0,79.0,72.50,79.0,79.0,1723,0,0,0.000,0.0,0.0,20.923
2026-09-18T15:38:54Z,7DE290847A8B99A9,18.4,queries/tpch/tpch-queries/q14/base.sql,measured,1,1,1,2,0.240149,0.240149,133.997,0.106152,0.067022,0.033639,9472,0,4.123413085937500000,3.731323242187500000,,,79.0,79.0,79.00,79.0,79.0,1759,0,0,0.001,0.0,0.0,17.170
2026-09-18T15:38:54Z,7DE290847A8B99A9,18.4,queries/tpch/tpch-queries/q14/base.sql,measured,1,2,1,2,0.342899,0.171450,243.279,0.099620,0.059766,0.033922,9600,0,7.380065917968750000,6.846923828125000000,,,79.0,68.0,79.00,79.0,79.0,1900,0,0,0.001,0.0,0.0,21.523
2026-09-18T15:38:55Z,7DE290847A8B99A9,18.4,queries/tpch/tpch-queries/q14/base.sql,measured,1,4,1,2,0.557455,0.139364,494.571,0.062884,0.041316,0.013038,9600,0,14.934936523437500000,13.818969726562500000,,,68.0,68.0,68.00,68.0,67.0,2819,0,0,0.000,0.0,0.0,26.791
2026-09-18T15:38:56Z,7DE290847A8B99A9,18.4,queries/tpch/tpch-queries/q14/base.sql,measured,1,8,1,2,1.131515,0.141439,1079.098,0.052417,0.031853,0.011585,9600,0,33.530212402343750000,31.319030761718750000,,,68.0,94.0,85.33,94.0,94.0,3231,0,0,0.000,0.0,0.0,29.633
2026-09-18T15:38:58Z,7DE290847A8B99A9,18.4,queries/tpch/tpch-queries/q14/base.sql,measured,1,16,1,2,2.200034,0.137502,2146.323,0.053711,0.023422,0.017257,9472,0,67.875732421875000000,63.918212890625000000,,,94.0,91.0,90.82,94.0,94.0,3320,0,0,0.000,0.0,0.0,30.852
2026-09-18T15:39:08Z,03FF175449F72D97,18.4,queries/tpch/tpch-queries/q16/v2_not_exists.sql,warmup,1,1,1,2,0.531632,0.531632,425.515,0.106117,0.035604,0.016724,9472,0,6.307495117187500000,5.356628417968750000,,,60.0,60.0,60.00,60.0,60.0,1430,0,0,9.457,0.0,6.0,11.864
