timestamp_utc,run_id,pg_version,query,phase,batch_index,copy_index,batchnum,runs,server_planning_ms,server_execution_ms,plan_nodes,scan_nodes,rows_out,rows_processed,rows_estimated,bytes_processed,rows_removed_filter,workers_launched,relations,shared_hit_blks,shared_read_blks,shared_dirtied_blks,shared_written_blks,temp_read_blks,temp_written_blks,failed,pkg_temp_start_c,mhz_mean
2026-09-18T20:49:07Z,DFFDE7CED3116F6A,18.4,queries/tpch/tpch-queries/q01/base.sql,warmup,1,1,1,1,11.028,3105.255,5,1,4,5916654,6,147929854,16925,4,lineitem,28,112600,0,0,0,0,0,55.0,1753
2026-09-18T20:49:09Z,DFFDE7CED3116F6A,18.4,queries/tpch/tpch-queries/q01/base.sql,warmup,2,1,1,1,1.317,2372.132,5,1,4,5916654,6,147929854,16925,4,lineitem,112628,0,0,0,0,0,0,60.0,1738
2026-09-18T20:49:12Z,DFFDE7CED3116F6A,18.4,queries/tpch/tpch-queries/q01/base.sql,measured,1,1,1,1,1.326,2377.876,5,1,4,5916654,6,147929854,16925,4,lineitem,112628,0,0,0,0,0,0,53.0,1739
2026-09-18T20:49:17Z,DFFDE7CED3116F6A,18.4,queries/tpch/tpch-queries/q01/base.sql,measured,1,1,2,1,1.340,2377.785,5,1,4,5916654,6,147929854,16925,4,lineitem,112628,0,0,0,0,0,0,60.0,1792
2026-09-18T20:49:17Z,DFFDE7CED3116F6A,18.4,queries/tpch/tpch-queries/q01/base.sql,measured,1,2,2,1,0.236,2351.490,5,1,4,5916654,6,147929854,16925,4,lineitem,112628,0,0,0,0,0,0,60.0,1792
2026-09-18T20:49:26Z,DFFDE7CED3116F6A,18.4,queries/tpch/tpch-queries/q01/base.sql,measured,1,1,4,1,1.324,2377.329,5,1,4,5916654,6,147929854,16925,4,lineitem,112628,0,0,0,0,0,0,62.0,1733
2026-09-18T20:49:26Z,DFFDE7CED3116F6A,18.4,queries/tpch/tpch-queries/q01/base.sql,measured,1,2,4,1,0.228,2344.216,5,1,4,5916654,6,147929854,16925,4,lineitem,112628,0,0,0,0,0,0,62.0,1733
2026-09-18T20:49:26Z,DFFDE7CED3116F6A,18.4,queries/tpch/tpch-queries/q01/base.sql,measured,1,3,4,1,0.251,2339.221,5,1,4,5916654,6,147929854,16925,4,lineitem,112628,0,0,0,0,0,0,62.0,1733
2026-09-18T20:49:26Z,DFFDE7CED3116F6A,18.4,queries/tpch/tpch-queries/q01/base.sql,measured,1,4,4,1,0.236,2344.261,5,1,4,5916654,6,147929854,16925,4,lineitem,112628,0,0,0,0,0,0,62.0,1733
2026-09-18T20:49:45Z,DFFDE7CED3116F6A,18.4,queries/tpch/tpch-queries/q01/base.sql,measured,1,1,8,1,1.307,2374.206,5,1,4,5916654,6,147929854,16925,4,lineitem,112628,0,0,0,0,0,0,57.0,1741
2026-09-18T20:49:45Z,DFFDE7CED3116F6A,18.4,queries/tpch/tpch-queries/q01/base.sql,measured,1,2,8,1,0.220,2343.913,5,1,4,5916654,6,147929854,16925,4,lineitem,112628,0,0,0,0,0,0,57.0,1741
2026-09-18T20:49:45Z,DFFDE7CED3116F6A,18.4,queries/tpch/tpch-queries/q01/base.sql,measured,1,3,8,1,0.222,2341.849,5,1,4,5916654,6,147929854,16925,4,lineitem,112628,0,0,0,0,0,0,57.0,1741
2026-09-18T20:49:45Z,DFFDE7CED3116F6A,18.4,queries/tpch/tpch-queries/q01/base.sql,measured,1,4,8,1,0.220,2345.808,5,1,4,5916654,6,147929854,16925,4,lineitem,112628,0,0,0,0,0,0,57.0,1741
2026-09-18T20:49:45Z,DFFDE7CED3116F6A,18.4,queries/tpch/tpch-queries/q01/base.sql,measured,1,5,8,1,0.226,2339.076,5,1,4,5916654,6,147929854,16925,4,lineitem,112628,0,0,0,0,0,0,57.0,1741
2026-09-18T20:49:45Z,DFFDE7CED3116F6A,18.4,queries/tpch/tpch-queries/q01/base.sql,measured,1,6,8,1,0.217,2342.587,5,1,4,5916654,6,147929854,16925,4,lineitem,112628,0,0,0,0,0,0,57.0,1741
2026-09-18T20:49:45Z,DFFDE7CED3116F6A,18.4,queries/tpch/tpch-queries/q01/base.sql,measured,1,7,8,1,0.221,2336.502,5,1,4,5916654,6,147929854,16925,4,lineitem,112628,0,0,0,0,0,0,57.0,1741
2026-09-18T20:49:45Z,DFFDE7CED3116F6A,18.4,queries/tpch/tpch-queries/q01/base.sql,measured,1,8,8,1,0.227,2341.756,5,1,4,5916654,6,147929854,16925,4,lineitem,112628,0,0,0,0,0,0,57.0,1741
2026-09-18T20:50:23Z,DFFDE7CED3116F6A,18.4,queries/tpch/tpch-queries/q01/base.sql,measured,1,1,16,1,1.334,2371.437,5,1,4,5916654,6,147929854,16925,4,lineitem,112628,0,0,0,0,0,0,59.0,1770
2026-09-18T20:50:23Z,DFFDE7CED3116F6A,18.4,queries/tpch/tpch-queries/q01/base.sql,measured,1,2,16,1,0.226,2372.850,5,1,4,5916654,6,147929854,16925,4,lineitem,112628,0,0,0,0,0,0,59.0,1770
2026-09-18T20:50:23Z,DFFDE7CED3116F6A,18.4,queries/tpch/tpch-queries/q01/base.sql,measured,1,3,16,1,0.218,2341.974,5,1,4,5916654,6,147929854,16925,4,lineitem,112628,0,0,0,0,0,0,59.0,1770
2026-09-18T20:50:23Z,DFFDE7CED3116F6A,18.4,queries/tpch/tpch-queries/q01/base.sql,measured,1,4,16,1,0.218,2342.562,5,1,4,5916654,6,147929854,16925,4,lineitem,112628,0,0,0,0,0,0,59.0,1770
2026-09-18T20:50:23Z,DFFDE7CED3116F6A,18.4,queries/tpch/tpch-queries/q01/base.sql,measured,1,5,16,1,0.223,2336.966,5,1,4,5916654,6,147929854,16925,4,lineitem,112628,0,0,0,0,0,0,59.0,1770
2026-09-18T20:50:23Z,DFFDE7CED3116F6A,18.4,queries/tpch/tpch-queries/q01/base.sql,measured,1,6,16,1,0.218,2336.111,5,1,4,5916654,6,147929854,16925,4,lineitem,112628,0,0,0,0,0,0,59.0,1770
2026-09-18T20:50:23Z,DFFDE7CED3116F6A,18.4,queries/tpch/tpch-queries/q01/base.sql,measured,1,7,16,1,0.217,2347.782,5,1,4,5916654,6,147929854,16925,4,lineitem,112628,0,0,0,0,0,0,59.0,1770
2026-09-18T20:50:23Z,DFFDE7CED3116F6A,18.4,queries/tpch/tpch-queries/q01/base.sql,measured,1,8,16,1,0.219,2333.129,5,1,4,5916654,6,147929854,16925,4,lineitem,112628,0,0,0,0,0,0,59.0,1770
2026-09-18T20:50:23Z,DFFDE7CED3116F6A,18.4,queries/tpch/tpch-queries/q01/base.sql,measured,1,9,16,1,0.319,2338.877,5,1,4,5916654,6,147929854,16925,4,lineitem,112628,0,0,0,0,0,0,59.0,1770
2026-09-18T20:50:23Z,DFFDE7CED3116F6A,18.4,queries/tpch/tpch-queries/q01/base.sql,measured,1,10,16,1,0.218,2336.708,5,1,4,5916654,6,147929854,16925,4,lineitem,112628,0,0,0,0,0,0,59.0,1770
2026-09-18T20:50:23Z,DFFDE7CED3116F6A,18.4,queries/tpch/tpch-queries/q01/base.sql,measured,1,11,16,1,0.229,2336.398,5,1,4,5916654,6,147929854,16925,4,lineitem,112628,0,0,0,0,0,0,59.0,1770
2026-09-18T20:50:23Z,DFFDE7CED3116F6A,18.4,queries/tpch/tpch-queries/q01/base.sql,measured,1,12,16,1,0.219,2343.950,5,1,4,5916654,6,147929854,16925,4,lineitem,112628,0,0,0,0,0,0,59.0,1770
2026-09-18T20:50:23Z,DFFDE7CED3116F6A,18.4,queries/tpch/tpch-queries/q01/base.sql,measured,1,13,16,1,0.218,2341.711,5,1,4,5916654,6,147929854,16925,4,lineitem,112628,0,0,0,0,0,0,59.0,1770
2026-09-18T20:50:23Z,DFFDE7CED3116F6A,18.4,queries/tpch/tpch-queries/q01/base.sql,measured,1,14,16,1,0.225,2343.875,5,1,4,5916654,6,147929854,16925,4,lineitem,112628,0,0,0,0,0,0,59.0,1770
2026-09-18T20:50:23Z,DFFDE7CED3116F6A,18.4,queries/tpch/tpch-queries/q01/base.sql,measured,1,15,16,1,0.225,2343.659,5,1,4,5916654,6,147929854,16925,4,lineitem,112628,0,0,0,0,0,0,59.0,1770
