center
(5,0.51)
(14,0.54)
(5,0.51)
(18.5,0.52)
(6,0.53)
(4,0.54)
(16.5,0.54)
(20,0.53)
(3,0.51)
(10.5,0.51)
(20,0.535)
(8,0.505)
(19,0.53)
(3.5,0.52)
(3.5,0.52)
(1.5,0.54)
(5,0.54)
(19,0.5)
(19,0.52)
(6.5,0.505)
(3.5,0.5)
(10,0.535)
(13.5,0.52)
(17,0.54)
(24.5,0.52)
(8.5,0.5)
(16,0.52)
(19,0.52)
(2,0.525)
(13,0.52)
(18.5,0.535)
(3,0.535)
(14,0.515)
(17.5,0.5)
(9.5,0.52)
(16,0.54)
(22.5,0.535)
(22,0.5)
(14,0.515)
(8,0.525)
(1.5,0.51)
(12,0.51)
(20,0.51)
(14.5,0.5)
(19,0.52)
(6,0.515)
(18,0.54)
(4.5,0.54)
(18,0.54)
(19.5,0.53)
(20,0.5)
(3.5,0.53)
(23,0.54)
(18,0.53)
(25,0.52)
(1.5,0.535)
(2.5,0.5)
(17.5,0.51)
(15.5,0.51)
(4.5,0.52)
(15.5,0.53)
(1.5,0.535)
(20,0.535)
(23,0.53)
(9.5,0.51)
(3,0.52)
(20.5,0.515)
(24.5,0.5)
(6,0.54)
(6.5,0.535)
(10.5,0.525)
(25.5,0.54)
(15,0.54)
(13.5,0.525)
(14,0.52)
(3.5,0.52)
(13,0.515)
(17,0.51)
(12,0.515)
(12.5,0.5)
(8,0.525)
(25.5,0.515)
(23.5,0.535)
(11,0.53)
(23,0.51)
(25.5,0.535)
(2,0.54)
(8.5,0.525)
(15,0.515)
(18.5,0.51)
(13,0.5)
(9.5,0.5)
(3,0.515)
(9,0.53)
(5,0.505)
(19.5,0.51)
(19,0.525)
(7.5,0.505)
(7.5,0.515)
(23,0.53)
(13.5,0.535)
(24.5,0.52)
(18.5,0.51)
(11,0.515)
(18,0.515)
(5,0.515)
(12.5,0.535)
(2,0.515)
(23.5,0.525)
(5,0.53)
(10,0.53)
(2,0.515)
(4.5,0.535)
(10.5,0.54)
(11.5,0.54)
(25,0.54)
(10.5,0.5)
(2,0.525)
(19,0.505)
(10,0.525)
(20,0.54)
(8.5,0.505)
(8,0.52)
(22,0.52)
(20.5,0.525)
(23,0.54)
(4.5,0.52)
(23,0.515)
(23.5,0.52)
(18,0.535)
(21.5,0.51)
(2,0.515)
(2.5,0.535)
(13,0.53)
(10,0.51)
(12,0.54)
(4.5,0.54)
(15,0.51)
(6,0.505)
(25,0.535)
(2.5,0.535)
(24,0.5)
(11,0.53)
(3,0.505)
(20.5,0.515)
(3.5,0.54)
(23.5,0.54)
(13.5,0.525)
(23,0.525)
(3,0.505)
(9,0.5)
(16.5,0.525)
(7.5,0.535)
(14,0.535)
(22,0.54)
(3.5,0.535)
(11.5,0.515)
(11,0.505)
(18.5,0.535)
(17.5,0.53)
(21,0.515)
(12.5,0.5)
(10.5,0.5)
(7,0.525)
(17.5,0.515)
(21.5,0.515)
(8.5,0.515)
(13.5,0.52)
(14,0.53)
(17.5,0.535)
(12.5,0.52)
(3,0.52)
(5.5,0.52)
(10,0.515)
(7.5,0.53)
(3.5,0.5)
(21,0.525)
(5,0.53)
(1,0.515)
(12,0.51)
(16.5,0.515)
(11,0.5)
(19.5,0.51)
(19,0.51)
(17,0.51)
(13,0.535)
(17.5,0.54)
(22,0.52)
(7.5,0.525)
(20.5,0.505)
(5.5,0.51)
(13,0.53)
(25.5,0.51)
(2,0.535)
(14.5,0.525)
(10,0.515)
(3,0.525)
(19,0.525)
(11.5,0.535)
(9,0.515)
(12,0.515)
(20.5,0.5)
(23.5,0.52)
(25,0.5)
(20.5,0.51)
(16,0.525)
(3.5,0.52)
(2,0.5)
(23,0.51)
(8.5,0.51)
(3,0.51)
(14.5,0.51)
(6,0.51)
(14,0.535)
(25.5,0.5)
(7.5,0.5)
(11.5,0.54)
(22,0.53)
(4,0.53)
(21.5,0.53)
(19,0.535)
(16,0.525)
(2.5,0.505)
(10,0.535)
(4,0.51)
(2.5,0.53)
(24.5,0.51)
(1,0.53)
(19.5,0.54)
(14.5,0.54)
(24,0.535)
(13.5,0.51)
(22.5,0.535)
(8.5,0.525)
(16.5,0.5)
(15,0.54)
(21,0.505)
(21.5,0.515)
(15,0.51)
(23.5,0.535)
(25.5,0.54)
(3.5,0.5)
(8,0.505)
(10.5,0.53)
(3.5,0.525)
(8,0.52)
(23,0.5)
(23.5,0.5)
(8,0.525)
(6.5,0.515)
(6,0.51)
(12,0.51)
(23.5,0.54)
(13.5,0.53)
(2,0.535)
(19,0.54)
(5,0.5)
(16.5,0.54)
(4.5,0.515)
(4.5,0.54)
(16.5,0.535)
(10,0.52)
(19.5,0.515)
(9.5,0.53)
(22.5,0.51)
(8.5,0.53)
(14.5,0.505)
(17,0.515)
(13,0.52)
(2.5,0.535)
(19.5,0.54)
(4,0.505)
(3.5,0.52)
(5.5,0.51)
(18.5,0.51)
(20.5,0.5)
(1.5,0.54)
(6,0.535)
(14.5,0.51)
(24,0.535)
(9.5,0.535)
(9,0.53)
(9.5,0.505)
(14,0.515)
(20.5,0.535)
(1.5,0.52)
(23.5,0.53)
(24.5,0.505)
(8,0.535)
(4,0.5)
(16,0.5)
(9,0.515)
(21.5,0.5)
(11.5,0.51)
(13.5,0.54)
(4,0.505)
(2.5,0.53)
(9.5,0.525)
(12.5,0.525)
(16.5,0.535)
(5.5,0.5)
(2,0.5)
(8,0.52)
(16,0.53)
(5.5,0.5)
(25,0.505)
(18,0.52)
(9,0.515)
(19,0.515)
(4,0.52)
(19,0.53)
(6.5,0.505)
(11.5,0.515)
(16.5,0.52)
(2,0.535)
(13.5,0.54)
(17.5,0.525)
(18,0.53)
(21.5,0.51)
(7,0.53)
(17,0.51)
(9,0.515)
(22.5,0.5)
(4,0.52)
(1.5,0.51)
(3,0.525)
(9,0.535)
(3,0.53)
(11.5,0.51)
(10.5,0.5)
(2,0.525)
(25,0.51)
(17.5,0.54)
(13.5,0.515)
(17,0.51)
(16,0.54)
(11,0.52)
(16.5,0.505)
(24,0.53)
(10,0.505)
(7.5,0.525)
(3.5,0.535)
(9,0.535)
(3.5,0.52)
(16.5,0.54)
(24,0.53)
(23.5,0.54)
(25.5,0.52)
(3.5,0.52)
(10.5,0.535)
(18,0.54)
(1.5,0.525)
(4.5,0.515)
(8,0.54)
(21,0.52)
(21.5,0.54)
(12.5,0.5)
(23.5,0.53)
(23,0.505)
(5,0.515)
(6.5,0.505)
(18,0.525)
(5.5,0.535)
(22,0.5)
(23.5,0.515)
(7.5,0.505)
(25.5,0.505)
(20,0.53)
(11.5,0.51)
(8,0.53)
(21,0.51)
